AFF_LOVE_POINT	Punto amore: %d%%
CHAT_BLOCK	Blocca
CHAT_GUILD	Gilda
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	La frase contiene parole proibite
CHAT_LOG	Mostra i messaggi vecchi [L]
CHAT_LOG_TITLE	Protocollo della chat
CHAT_NORMAL	Normale
CHAT_NOTICE	Annuncio
CHAT_PARTY	Gruppo
CHAT_SEND_CHAT	Invia Chat
CHAT_SEND_MEMO	Invia Chat privata [Shift+Invio]
CHAT_SHOUT	Chiama
CHAT_SHOUT_LIMIT	Puoi chiamare ogni 15 secondi.
CHAT_WHISPER	Chat privata
CREATE_ERROR_GM_NAME	Nel nome del personaggio non puoi usare ,GM‘.
CREATE_ERROR_INSULT_NAME	Questo nome non è consentito.
CREATE_EXIST_SAME_NAME	Questo nome è usato da un altro personaggio.
CREATE_FAILURE	Non puoi creare il personaggio.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Inserisci il nome.
CREATE_PLUS_STAT	Ci sono ancora punti status disponibili.
DAY	Giorni
DO_YOU_BUY_ITEM1	Desideri comprare %s per %s ?
DO_YOU_BUY_ITEM2	Desideri comprare %s %s per %s ?
DO_YOU_DROP_MONEY	Desideri lasciar cadere %d Yang?
DO_YOU_SELL_ITEM1	Desideri vendere %s per %s ?
DO_YOU_SELL_ITEM2	Desideri vendere %s %s per %s ?
DROP_ITEM_FAILURE_EQUIP_ITEM	Non puoi lasciar cadere un oggetto che è in uso.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Non puoi lasciar cadere un oggetto se hai un negozio privato aperto.
DROP_MONEY_FAILURE_1000_OVER	Puoi lasciar cadere massimo 999 Yang.
EMOTION_ANGRY	Arrabbiato
EMOTION_ATTRACTIVE	Seduzione
EMOTION_BANTER	Scherzoso
EMOTION_CHEERS_1	Esulto 1
EMOTION_CHEERS_2	Esulto 2
EMOTION_CHEERUP	Gioire
EMOTION_CHOOSE_ONE	Scegli bersaglio.
EMOTION_CLAP	Applauso
EMOTION_CLAP_KISS	Bacio
EMOTION_CONGRATULATION	Approvazione
EMOTION_DANCE_1	Ballare 1
EMOTION_DANCE_2	Ballare 2
EMOTION_DANCE_3	Ballare 3
EMOTION_DANCE_4	Ballare 4
EMOTION_DANCE_5	Ballare 5
EMOTION_DANCE_6	Ballare 6
EMOTION_FORGIVE	Perdono
EMOTION_FRENCH_KISS	Bacio con la lingua
EMOTION_JOY	Felicita'
EMOTION_SAD	Triste
EMOTION_SHY	Rifiuto
EMOTION_SLAP	Colpo
EMPIRE_A	Regno Shinsoo
EMPIRE_B	Regno Chunjo
EMPIRE_C	Regno Jinno
EXCHANGE_CANNOT_GIVE	Quest'oggetto non è commerciabile.
EXCHANGE_CANT_EDIT_MONEY	Non puoi modificare il prezzo ora.
EXCHANGE_FAILURE_EQUIP_ITEM	Non puoi scambiare gli oggetti in uso.
EXCHANGE_MONEY	Prezzo
EXCHANGE_TITLE	Commercia con %s
FISHING_FAILURE	Hai perso l'esca.
FISHING_NOTIFY1	Sembrerebbe che %s abbia abboccato.
FISHING_NOTIFY2	Sembrerebbe che %s sia stato catturato.
FISHING_SUCCESS1	Ne hai catturati %s!
FISHING_SUCCESS2	Hai pescato %s!
FISHING_UNKNOWN	Qualcosa ha abboccato ma non sai cosa sia.
FISHING_WRONG_PLACE	Qui non posso pescare.
FOR_FEMALE	Per Donne
FOR_MALE	Per Uomini
GAME_CANNOT_MINING	Non puoi estrarre minerali mentre sei a cavallo.
GAME_CANNOT_PICK_ITEM	Non puoi raccogliere l'oggetto perchè non lo hai razziato tu.
GAME_INIT_ERROR_CURSOR	Non si è potuto creare la freccia del mouse.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 deve essere installata per poter eseguire il gioco.\nInstalla DirectX 8.1 o maggiore.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Non è stata trovata nessuna scheda grafica compatibile con il gioco.\nControlla che la tua scheda VGA sia installata correttamente.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Non è stato possibile eseguire la grafica.\nControlla se possiedi una scheda VGA.\nIn alternativa puoi attivare l'accelerazione Hardware \n(Metti l'accelerazione Hardware al massimo \nPannello di controllo->Schermo->Impostazioni->Avanzate->Risoluzione problemi)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La scheda grafica del PC non supporta la modalità finestra in 32bit.\nModifica in modalità 16bit o usa la modalità a tutto schermo.
GAME_INIT_ERROR_ITEM_PROTO	I dati degli oggetti non sono disponibili.\nInstalla nuovamente il gioco.
GAME_INIT_ERROR_MAIN_WINDOW	Non è stato possibile creare la finestra principale.
GAME_INIT_ERROR_MOB_PROTO	I dati dei mostri non sono disponibili.\nInstalla nuovamente il gioco.
GAME_INIT_ERROR_NETWORK	Non è stato possibile creare la connessione.\nControlla la tua connessione ad internet.
GAME_PICK_MONEY	Hai ricevuto %s Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	L'altezza non è di 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	L'altezza non è di 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	La larghezza non è di 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	La larghezza non è di 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Il gioco non supporta questa immagine.
GUILDMARK_UPLOADER_ERROR_PATH	Sposta il file nella cartella metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Non hai scelto nessuna immagine.
GUILDWAR_CTF_TITLE	Conquista la bandiera
GUILDWAR_NORMAL_TITLE	Campo di battaglia
GUILDWAR_QUESTION_LINE_1	La Gilda %s ha dichiarato guerra alla tua Gilda.
GUILDWAR_QUESTION_LINE_2	Accetti? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Campo di battaglia
GUILD_BUILDING_GRADE	Posizione
GUILD_BUILDING_NAME	Nome della costruzione
GUILD_CANNOT_HEAL_GSP_ANYMORE	L'energia dello Spirito del Drago è completamente rigenerata.
GUILD_COMMENT	Scrivi
GUILD_CREATE_ERROR_INSULT_NAME	Nome della Gilda non consentito.
GUILD_DEFAULT_GRADE	Membro della Gilda
GUILD_DELETE	Cancella
GUILD_DEPOSIT	Deposita
GUILD_DO_YOU_HEAL_GSP	Desideri rigenerare %d unità di Spirito del Drago per %d Yang?
GUILD_DO_YOU_JOIN	  ti ha invitato. Desideri entrare nella Gilda?
GUILD_EMPTY_AREA	Terra di nessuno
GUILD_ENEMY_GUILD_NAME	Nome della Gilda avversaria
GUILD_FACILITY	Edificio secondario
GUILD_GEM	Pietra preziosa
GUILD_HEADQUARTER	Edificio principale
GUILD_HEAL_GSP	Rigenera lo Spirito del Drago
GUILD_INFO_ENEMY_GUILD_EMPTY	Nessuno
GUILD_MARK_NOT_ENOUGH_LEVEL	È richiesto minimo livello 4
GUILD_NAME	Nome della Gilda
GUILD_NOT_ENOUGH_MATERIAL	Non possiedi abbastanza materiale per questo edificio.
GUILD_NOT_ENOUGH_MONEY	Non possiedi abbastanza Yang per questo edificio.
GUILD_NO_NOTICE_PERMISSION	Non sei autorizzato a fare un annuncio.
GUILD_OBJECT	Oggetti
GUILD_OFFER_EXP	Esperienza da investire
GUILD_SHORT_EXP	Non hai abbastanza punti esperienza.
GUILD_TILE_BASEINFO	Informazioni base
GUILD_TILE_BOARD	Lavagna
GUILD_TILE_GRADE	Amministra diritti
GUILD_TILE_INFO	Informazioni della Gilda
GUILD_TILE_MEMBER	Membro della Gilda
GUILD_TILE_SKILL	Abilità della Gilda
GUILD_WAR_LIMIT_30MIN	Tempo: 30 minuti
GUILD_WAR_REWARD_POTION	Ricompensa: Il vinvitore riceve pozioni.
GUILD_WAR_USE_BATTLE_MAP	Usa il campo di battaglia della Gilda
GUILD_WAR_USE_NORMAL_MAP	Luogo: mappa normale
GUILD_WAR_WIN_CHECK_SCORE	Chi ha il risultato maggiore vince la guerra.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Conquista la bandiera dell'avversario
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	e portala alla tua base
GUILD_WAR_WIN_WIPE_OUT_GUILD	Per vincere distruggi tutti i tuoi avversari.
GUILD_WITHDRAW	Ritirata
GUILD_YOU_DO_NOT_JOIN	Non appartieni a nessuna Gilda
HORSE_HEALTH0	Morto
HORSE_HEALTH1	Denutrito
HORSE_HEALTH2	Affamato
HORSE_HEALTH3zio
HORSE_LEVEL1	Cavallo normale
HORSE_LEVEL2	Cavallo da Battaglia
HORSE_LEVEL3	Cavallo militare
HOUR	Ore
HOW_MANY_ITEM_DO_YOU_DROP1	Desideri lasciar cadere %s ?
HOW_MANY_ITEM_DO_YOU_DROP2	Desideri lasciar cadere %s %d ?
INPUT_MATRIX_CARD_NUMBER	Inserire numer omatrix della carta
INPUT_MATRIX_CARD_TITLE	Matrix della carta
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Inserisci qui il codice che hai inserito nell'iscrizione
INPUT_PRIVATE_CODE_DIALOG_TITLE	Cancella personaggio
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Il papiro del ritorno non può essere unito.
INVENTORY_REALLY_USE_ITEM	Desideri usare questo oggetto?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ninja principiante
JOB_ASSASSIN1	Forza del Ninja
JOB_ASSASSIN2	Morto vivente
JOB_SHAMAN	Shamano
JOB_SHAMAN0	Shamana principiante
JOB_SHAMAN1	Forza del Drago
JOB_SHAMAN2	Potenza del lampo
JOB_SURA	Sura
JOB_SURA0	Sura principiante
JOB_SURA1	Forza della Fata Morgana
JOB_SURA2	Forza della Magia Nera
JOB_WARRIOR	Guerriero
JOB_WARRIOR0	Guerriero principiante
JOB_WARRIOR1	Forza di Arahan
JOB_WARRIOR2	Forza del Partigiano
LEFT_TIME	Tempo rimanente
LOGIN_CONNECT_FAILURE	Errore di collegamento con il server.
LOGIN_CONNECT_SUCCESS	Sei stato collegato al server.
LOGIN_CONNETING	Stai per essere collegato al server.
LOGIN_FAILURE_ALREAY	Il tuo account è già collegato.
LOGIN_FAILURE_BE_SAME_KEY	Problema d'iscrizione
LOGIN_FAILURE_BLOCK_ID	Il tuo account è bloccato.
LOGIN_FAILURE_BLOCK_LOGIN	Sei pregato di scegliere un altro server!
LOGIN_FAILURE_NOBILL	Il tuo account non ha tempo di gioco.
LOGIN_FAILURE_NOT_AVAIL	L'account non è disponibile.
LOGIN_FAILURE_NOT_EXIST_ID	Nome account o password errati.
LOGIN_FAILURE_REPAIR_ID	Vengono rigenerati oggetti per l'account.
LOGIN_FAILURE_SHUTDOWN	Il server non è ancora aperto.
LOGIN_FAILURE_TOO_MANY_USER	Non sei riuscito a connetterti perchè ci sono troppi giocatori
LOGIN_FAILURE_UNKNOWN	Non sei riuscito a connetterti per ragioni sconosciute.
LOGIN_FAILURE_WEB_BLOCK	È stato bloccato sulla pagina web. Per favore controlli la sua e-mail
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Hai inserito un numero sbagliato.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Hai inserito per tre volte un numero sbagliato. La connessione è stata conclusa.
LOGIN_FAILURE_WRONG_PASSWORD	Nome account o password errati.
LOGIN_INPUT_ID	Inserisci l'ID.
LOGIN_INPUT_PASSWORD	Inserisci la password.
LOGIN_PROCESSING	È in corso il login.
MALL_CANNOT_INSERT	Non puoi collocare l'oggetto.
MALL_PASSWORD_TITLE	Password
MAP_A1	Zona Yongan
MAP_A2	Valle di Seungryong
MAP_A3	Zona Yayang
MAP_AG	Jungrang
MAP_B1	Zona Joan
MAP_B2	Valle di Imji
MAP_B3	Zona Bokjung
MAP_BG	Waryong
MAP_C1	Zona Pyungmoo
MAP_C2	Valle di Bangsan
MAP_C3	Zona Bakra
MAP_CG	Imha
MAP_DESERT	Deserto Yongbi
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Terra Giganti
MAP_SKELTOWER	Torre di Gumsan
MAP_SNOW	Monte Sohan
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Tempio Hwang
MAP_TREE	Lungsam
MAP_TRENT02	Bosco Rosso
MAP_WL	Campo Serpi
MESSENGER_ADD_FRIEND	Aggiungi amico
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s vuole essere tuo amico.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accetti?
MESSENGER_DO_YOU_DELETE	Cancelli?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Desideri cancellare il numero di cellulare?
MESSENGER_DO_YOU_MOVE	Desideri andare avanti?
MESSENGER_EMPTY_LIST	Vuoto
MESSENGER_FAMILY	Famiglia
MESSENGER_FRIEND	Amici
MESSENGER_GUILD	Gilda
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Inserisci il codice di conferma che è stato inviato al tuo cellulare.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Inserisci il codice di conferma
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Inserisci il numero di cellulare per l'invio di SMS.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Desideri inserire il numero ora?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Inserisci numero di cellulare
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Invia messaggio.
MINIMAP	Mini-mappa
MINIMAP_CANNOT_SEE	La mappa miniaturizzata non può essere visualizzata.
MINIMAP_CAN_NOT_SHOW_AREAMAP	La mappa non può essere visualizzata.
MINIMAP_DEC_SCALE	Zoom out
MINIMAP_INC_SCALE	Zoom in
MINIMAP_OBSERVER_COUNT	%d Spettatori
MINIMAP_SHOW_AREAMAP	Apri mappa grande
MINUTE	minuti
MONETARY_UNIT0	Yang
MONETARY_UNIT1	diecimila
MONETARY_UNIT2	cento milioni
MONEY_INPUT_DIALOG_SELLPRICE	Prezzo di vendita:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Non puoi spostare degli oggetti se hai un negozio privato aperto.
MUSIC_EMPTY_MUSIC_LIST	Nessuna musica di sottofondo.
MUSIC_METIN2_DEFAULT_THEMA	Musica standard di Metin2
MUSIC_NOT_SELECT_MUSIC	Non è stato scelto nessun file musicale.
NEEFD_REST	Devi prima riposarti.
NOT_YET_SUPPORT	Non è supportato.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Non puoi attivare la modalità Gilda se non appartieni ad una Gilda.
OPTION_PVPMODE_NOT_SUPPORT	Non puoi usare la configuarazione PvP.
OPTION_PVPMODE_PROTECT	Devi aver raggiunto il livello %d per modificare la modalità PvP.
PARTY_BONUS_ATTACKER	Valore d'attacco: +%d
PARTY_BONUS_BERSERKER	Velocità d'attacco: +%d
PARTY_BONUS_BUFFER	Durata dell'abilità: +%d
PARTY_BONUS_DEFENDER	Difesa: +%d
PARTY_BONUS_EXP	Bonus EXP: %d%%
PARTY_BONUS_SKILL_MASTER	Max. MP: +%d
PARTY_BONUS_TANKER	Max. HP: +%d
PARTY_BREAK_UP	Sciogli gruppo
PARTY_DO_YOU_ACCEPT	  desidera entrare nel gruppo.
PARTY_DO_YOU_JOIN	 ti ha invitato a unirti al suo gruppo. Accetti?
PARTY_EXP_DISTRIBUTION_MODE	Divisione per EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	In base al livello
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	I membri di livello più alto ricevono più EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Equilibrato
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tutti i membri del gruppo ricievono gli stessi EXP.
PARTY_HEAL_ALL_MEMBER	Rigenerare tutto
PARTY_INCREASE_AREA_150	Raggio d'azione del gruppo alzato di fattore 1,5.
PARTY_INCREASE_AREA_200	Raggio d'azione del gruppo alzato di fattore 2.
PARTY_LEAVE	Abbandona il gruppo.
PARTY_LONGTIME_BONUS_EXP	EXP bonus per un gioco di gruppo lungo: +%d%%
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Chiamare a sè un membro del gruppo.
PARTY_REGEN_BONUS	Bonus per HP + Rigenerazione MP: +%d%%
PARTY_REQUEST_DENIED	La tua richiesta è stata rifiutata.
PARTY_SET_ATTACKER	Annotare come aggressore.
PARTY_SET_BERSERKER	Annotare come feroce.
PARTY_SET_BUFFER	Annotare come bloccatore.
PARTY_SET_DEFENDER	Annotare come difensore.
PARTY_SET_NORMAL	Annullare le impostazioni.
PARTY_SET_SKILL_MASTER	Annotare come maestro delle abilità.
PARTY_SET_TANKER	Annotare come lottatore corpo a corpo.
PARTY_SKILL_ATTACKER	Valore d'attacco base aggressore  +%,0f
PARTY_SKILL_BERSERKER	Velocità d'attacco feroce +%,0f
PARTY_SKILL_BUFFER	Durata dell'abilità bloccatore +%,0f
PARTY_SKILL_DEFENDER	Difesa difensore +%,0f
PARTY_SKILL_HP_REGEN	Rigenerazione HP +%,0f%%
PARTY_SKILL_PARTY_AREA	Raggio d'azione del gruppo +%d%%
PARTY_SKILL_SKILL_MASTER	Max. MP maestro delle abilità +%,0f
PARTY_SKILL_SP_REGEN	Rigenerazione MP +%,0f%%
PARTY_SKILL_TANKER	Max. HP lottatore corpo a corpo +%,0f
PARTY_SKILL_WARP	Capacità di chiamare a sè i membri del gruppo.
PASSWORD_TITLE	Password Magazzino
PICK_ITEM_TITLE	Numero dell'oggetto
PICK_MONEY_TITLE	Prezzo
PRIVATE_SHOP_CANNOT_SELL_ITEM	Non puoi vendere questo oggetto in un neegozio privato.
PRIVATE_SHOP_CLOSE_QUESTION	Desideri chiudere il negozio privato?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nome del negozio privato
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Prezzo
PVP_LEVEL0	Cavaliere
PVP_LEVEL1	Nobile
PVP_LEVEL2	Buono
PVP_LEVEL3	Gentile
PVP_LEVEL4	Neutrale
PVP_LEVEL5	Aggressivo
PVP_LEVEL6	Perfido
PVP_LEVEL7	Maligno
PVP_LEVEL8	Crudele
PVP_MODE_GUILD	La Gilda PvP è stata attivata.
PVP_MODE_KILL	PvP - Libero attivato.
PVP_MODE_NORMAL	PvP - Pace attivato.
PVP_MODE_PROTECT	PvP - Protezione attivato.
PVP_MODE_REVENGE	PvP - Nemico attivato.
PVP_OPTION_KILL	Libero
PVP_OPTION_NORMAL	Pace
PVP_OPTION_PROTECT	Protezione
PVP_OPTION_REVENGE	Nemico
QUEST_APPEND	È stata formulata una nuova missione.
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Tempo scaduto
QUEST_UNLIMITED_TIME	Non c'è limite di tempo
QUEST_ZEROSEC	0 Sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	Questo oggetto non può essere inserito nei campi di utilizzo rapido.
RECEIVE_MESSAGE	%s ti ha mandato un messaggio.
REFINE_COST	Costo del miglioramento: %d Yang
REFINE_DESTROY_WARNING	L'oggetto potrebbe essere distrutto durante il miglioramento.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Questo aumenta la possibilità di successo del miglioramento,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	ma in caso di fallimento l'oggetto sarà distrutto. Desideri continuare?
REFINE_DOWN_GRADE_WARNING	L'oggetto durante il miglioramento potrebbe peggiorare.
REFINE_DO_YOU_SEPARATE_METIN	Desideri rimuovere tutte le Pietre Spirituali?
REFINE_FAILURE	Hai fallito.
REFINE_FAILURE_CAN_NOT_ATTACH	%s questo oggetto non può essere inserito.
REFINE_FAILURE_EQUIP_ITEM	Non puoi migliorare gli oggetti in uso.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nessuna Pietra Spirituale può essere tolta.
REFINE_FAILURE_NEED_BETTER_SCROLL	Ti serve un migliore papiro del miglioramento .
REFINE_FAILURE_NO_GOLD_SOCKET	Non hai nessuna montatura d'oro per inserire %s.
REFINE_FAILURE_NO_MORE_SOCKET	Non puoi creare altre montature.
REFINE_FAILURE_NO_SOCKET0	Non hai nessuna montatura per inserire %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Su questo oggetto non può essere creata una montatura.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Questo oggetto non può essere migliorato.
REFINE_SUCCESS	Il miglioramento è riuscito con successo.
REFINE_SUCCESS_PROBALITY	Possibilità di successo: %d%%
REFINE_WARNING2	Desideri continuare?
SAFEBOX_ERROR	Hai inserito la password sbagliata.
SAFEBOX_SELL_DISABLE_SAFEITEM	Non puoi vendere gli oggetti salvati.
SAFEBOX_WRONG_PASSWORD	Le password devono essere identiche.
SCREENSHOT_SAVE1	È salvato in
SCREENSHOT_SAVE2	Cartella degli Screenshot
SCREENSHOT_SAVE_FAILURElvataggio dello screenshot fallito.
SECOND	Sec
SELECT_CAN_NOT_DELETE	Non puoi cancellare il personaggio.
SELECT_CHANGED_NAME	Hai modificato il nome del personaggio.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Il nome del personaggio esiste già.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Riprovaci.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Questo nome del personaggio è errato
SELECT_CHANGE_NAME_TITLE	Modifica il nome del personaggio
SELECT_DELEING	Il personaggio sta per essere cancellato.
SELECT_DELETED	Cancellato con successo
SELECT_DO_YOU_DELETE_REALLY	Desideri continuare?
SELECT_EMPTY_SLOT	Questo è un campo vuoto
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Inserisci un nuovo nome del personaggio.
SELECT_NOT_JOIN_GUILD	Nessuna Gilda
SHOP_BUY_INFO	Scegli dalla vetrina l'oggetto che vorresti acquistare.
SHOP_CANNOT_SELL_EQUIPMENT	Non puoi vendere degli oggetti in uso.
SHOP_CANNOT_SELL_ITEM	Questto oggetto non è in vendita
SHOP_ERROR_UNKNOWN	Errore di caricamento sconosciuto: %s
SHOP_INVALID_POS	Questo oggetto non è adatto.
SHOP_INVENTORY_FULL	Nel magazzino non c'è più posto.
SHOP_NOT_ENOUGH_MONEY	Non hai abbastanza Yang
SHOP_SELL_INFO	Scegli dal tuo inventario l'oggetto che vuoi vendere.
SHOP_SOLDOUT	Esaurito
SHOT_ERROR_UNKNOWN	Errore sconosciuto nell'attacco a distanza: %s
SKILL_BOHO	Riflettere
SKILL_BUDONG	Non è più utilizzato.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Ti serve EXP per imparare questa abilità.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Ti serve un libro per imparare questa abilità.
SKILL_CHEONGEUN	Corpo forte
SKILL_CRITICAL	Colpo critico
SKILL_ENCHANT_POISON	Applica il veleno
SKILL_EUNHYEONG	Camuffamento
SKILL_FAINT	Svenimento
SKILL_FIND_TRAP	Cerca trappola
SKILL_FIRE	Fuoco duraturo
SKILL_FISHMIND	La palla di pesce è usata.
SKILL_GAMJI	Mirare
SKILL_GEOMGYEONG	Aura della spada
SKILL_GEONGON	SKILL_GEONGON Non è più usato
SKILL_GICHEON	Aiuto del Drago
SKILL_GIGONG	Rotazione Chi
SKILL_GONGPO	Terrore
SKILL_GRADE_NAME_GRAND_MASTER	%s Gran Maestro
SKILL_GRADE_NAME_MASTER	%s Maestro
SKILL_GRADE_NAME_PERFECT_MASTER	%s Maestro Perfetto
SKILL_GROUP_ASSASSIN_1	Lama
SKILL_GROUP_ASSASSIN_2	Arco
SKILL_GROUP_HORSE	Equitazione
SKILL_GROUP_SHAMAN_1	Drago
SKILL_GROUP_SHAMAN_2	Guarigione
SKILL_GROUP_SURA_1	Armi
SKILL_GROUP_SURA_2	Magia
SKILL_GROUP_WARRIOR_1	Corpo
SKILL_GROUP_WARRIOR_2	Mentale
SKILL_GWIGEOM	Lama incantata
SKILL_GYEONGGONG	Passo piumato
SKILL_HEUKSIN	Protezione oscura
SKILL_HOSIN	Benedizione
SKILL_HWAYEOM	SKILL_HWAYEOM Non è più usato
SKILL_HYEOLMA	SKILL_HYEOLMA Non è più usato
SKILL_INC_ATKSPD	Velocità di attacco aumentata
SKILL_INC_MOVSPD	Velocità di movimento aumentata
SKILL_INMA	SKILL_INMA Non è più usato
SKILL_JEOJU	Maledizione
