VNUM	LOCALE_NAME
110	Gran Espada +0
111	Gran Espada +1
112	Gran Espada +2
113	Gran Espada +3
114	Gran Espada +4
115	Gran Espada +5
116	Gran Espada +6
117	Gran Espada +7
118	Gran Espada +8
119	Gran Espada +9
120	Espada Brujo Volador +0
121	Espada Brujo Volador +1
122	Espada Brujo Volador +2
123	Espada Brujo Volador +3
124	Espada Brujo Volador +4
125	Espada Brujo Volador +5
126	Espada Brujo Volador +6
127	Espada Brujo Volador +7
128	Espada Brujo Volador +8
129	Espada Brujo Volador +9
130	Espada Media Luna +0
131	Espada Media Luna +1
132	Espada Media Luna +2
133	Espada Media Luna +3
134	Espada Media Luna +4
135	Espada Media Luna +5
136	Espada Media Luna +6
137	Espada Media Luna +7
138	Espada Media Luna +8
139	Espada Media Luna +9
140	Espada de Batalla +0
141	Espada de Batalla +1
142	Espada de Batalla +2
143	Espada de Batalla +3
144	Espada de Batalla +4
145	Espada de Batalla +5
146	Espada de Batalla +6
147	Espada de Batalla +7
148	Espada de Batalla +8
149	Espada de Batalla +9
150	Hoja Colmillo Fantasma+0
151	Hoja Colmillo Fantasma+1
152	Hoja Colmillo Fantasma+2
153	Hoja Colmillo Fantasma+3
154	Hoja Colmillo Fantasma+4
155	Hoja Colmillo Fantasma+5
156	Hoja Colmillo Fantasma+6
157	Hoja Colmillo Fantasma+7
158	Hoja Colmillo Fantasma+8
159	Hoja Colmillo Fantasma+9
160	Espada Ninfa +0
161	Espada Ninfa +1
162	Espada Ninfa +2
163	Espada Ninfa +3
164	Espada Ninfa +4
165	Espada Ninfa +5
166	Espada Ninfa +6
167	Espada Ninfa +7
168	Espada Ninfa +8
169	Espada Ninfa +9
170	Espada Picadura +0
171	Espada Picadura +1
172	Espada Picadura +2
173	Espada Picadura +3
174	Espada Picadura +4
175	Espada Picadura +5
176	Espada Picadura +6
177	Espada Picadura +7
178	Espada Picadura +8
179	Espada Picadura +9
180	Espada Envenenada +0
181	Espada Envenenada +1
182	Espada Envenenada +2
183	Espada Envenenada +3
184	Espada Envenenada +4
185	Espada Envenenada +5
186	Espada Envenenada +6
187	Espada Envenenada +7
188	Espada Envenenada +8
189	Espada Envenenada +9
190	Espada León +0
191	Espada León +1
192	Espada León +2
193	Espada León +3
194	Espada León +4
195	Espada León +5
196	Espada León +6
197	Espada León +7
198	Espada León +8
199	Espada León +9
200	Espada Límite +0
201	Espada Límite +1
202	Espada Límite +2
203	Espada Límite +3
204	Espada Límite +4
205	Espada Límite +5
206	Espada Límite +6
207	Espada Límite +7
208	Espada Límite +8
209	Espada Límite +9
210	Espada Mortífera +0
211	Espada Mortífera +1
212	Espada Mortífera +2
213	Espada Mortífera +3
214	Espada Mortífera +4
215	Espada Mortífera +5
216	Espada Mortífera +6
217	Espada Mortífera +7
218	Espada Mortífera +8
219	Espada Mortífera +9
220	Espada Lunar +0
221	Espada Lunar +1
222	Espada Lunar +2
223	Espada Lunar +3
224	Espada Lunar +4
225	Espada Lunar +5
226	Espada Lunar +6
227	Espada Lunar +7
228	Espada Lunar +8
229	Espada Lunar +9
230	Espada Celestial +0
231	Espada Celestial +1
232	Espada Celestial +2
233	Espada Celestial +3
234	Espada Celestial +4
235	Espada Celestial +5
236	Espada Celestial +6
237	Espada Celestial +7
238	Espada Celestial +8
239	Espada Celestial +9
240	Espada Exorcismo +0
241	Espada Exorcismo +1
242	Espada Exorcismo +2
243	Espada Exorcismo +3
244	Espada Exorcismo +4
245	Espada Exorcismo +5
246	Espada Exorcismo +6
247	Espada Exorcismo +7
248	Espada Exorcismo +8
249	Espada Exorcismo +9
250	Espada Demonio +0
251	Espada Demonio +1
252	Espada Demonio +2
253	Espada Demonio +3
254	Espada Demonio +4
255	Espada Demonio +5
256	Espada Demonio +6
257	Espada Demonio +7
258	Espada Demonio +8
259	Espada Demonio +9
260	Espada Barón +0
261	Espada Barón +1
262	Espada Barón +2
263	Espada Barón +3
264	Espada Barón +4
265	Espada Barón +5
266	Espada Barón +6
267	Espada Barón +7
268	Espada Barón +8
269	Espada Barón +9
270	Espada Tritón +0
271	Espada Tritón +1
272	Espada Tritón +2
273	Espada Tritón +3
274	Espada Tritón +4
275	Espada Tritón +5
276	Espada Tritón +6
277	Espada Tritón +7
278	Espada Tritón +8
279	Espada Tritón +9
280	Espada Santa +0
281	Espada Santa +1
282	Espada Santa +2
283	Espada Santa +3
284	Espada Santa +4
285	Espada Santa +5
286	Espada Santa +6
287	Espada Santa +7
288	Espada Santa +8
289	Espada Santa +9
290	Espada Luna Llena +0
291	Espada Luna Llena +1
292	Espada Luna Llena +2
293	Espada Luna Llena +3
294	Espada Luna Llena +4
295	Espada Luna Llena +5
296	Espada Luna Llena +6
297	Espada Luna Llena +7
298	Espada Luna Llena +8
299	Espada Luna Llena +9
460	Espada rúnica+0
461	Espada rúnica+1
462	Espada rúnica+2
463	Espada rúnica+3
464	Espada rúnica+4
465	Espada rúnica+5
466	Espada rúnica+6
467	Espada rúnica+7
468	Espada rúnica+8
469	Espada rúnica+9
470	Hoja diente de dragón+0
471	Hoja diente de dragón+1
472	Hoja diente de dragón+2
473	Hoja diente de dragón+3
474	Hoja diente de dragón+4
475	Hoja diente de dragón+5
476	Hoja diente de dragón+6
477	Hoja diente de dragón+7
478	Hoja diente de dragón+8
479	Hoja diente de dragón+9
1000	Daga +0
1001	Daga +1
1002	Daga +2
1003	Daga +3
1004	Daga +4
1005	Daga +5
1006	Daga +6
1007	Daga +7
1008	Daga +8
1009	Daga +9
1010	Daga Cobra +0
1011	Daga Cobra +1
1012	Daga Cobra +2
1013	Daga Cobra +3
1014	Daga Cobra +4
1015	Daga Cobra +5
1016	Daga Cobra +6
1017	Daga Cobra +7
1018	Daga Cobra +8
1019	Daga Cobra +9
1020	Daga Tijera +0
1021	Daga Tijera +1
1022	Daga Tijera +2
1023	Daga Tijera +3
1024	Daga Tijera +4
1025	Daga Tijera +5
1026	Daga Tijera +6
1027	Daga Tijera +7
1028	Daga Tijera +8
1029	Daga Tijera +9
1030	Daga Afortunada +0
1031	Daga Afortunada +1
1032	Daga Afortunada +2
1033	Daga Afortunada +3
1034	Daga Afortunada +4
1035	Daga Afortunada +5
1036	Daga Afortunada +6
1037	Daga Afortunada +7
1038	Daga Afortunada +8
1039	Daga Afortunada +9
1040	Daga Mordisco de Gato +0
1041	Daga Mordisco de Gato +1
1042	Daga Mordisco de Gato +2
1043	Daga Mordisco de Gato +3
1044	Daga Mordisco de Gato +4
1045	Daga Mordisco de Gato +5
1046	Daga Mordisco de Gato +6
1047	Daga Mordisco de Gato +7
1048	Daga Mordisco de Gato +8
1049	Daga Mordisco de Gato +9
1050	Daga Máscara Diablo +0
1051	Daga Máscara Diablo +1
1052	Daga Máscara Diablo +2
1053	Daga Máscara Diablo +3
1054	Daga Máscara Diablo +4
1055	Daga Máscara Diablo +5
1056	Daga Máscara Diablo +6
1057	Daga Máscara Diablo +7
1058	Daga Máscara Diablo +8
1059	Daga Máscara Diablo +9
1060	Daga Puño Diablo +0
1061	Daga Puño Diablo +1
1062	Daga Puño Diablo +2
1063	Daga Puño Diablo +3
1064	Daga Puño Diablo +4
1065	Daga Puño Diablo +5
1066	Daga Puño Diablo +6
1067	Daga Puño Diablo +7
1068	Daga Puño Diablo +8
1069	Daga Puño Diablo +9
1070	Daga Sangrienta +0
1071	Daga Sangrienta +1
1072	Daga Sangrienta +2
1073	Daga Sangrienta +3
1074	Daga Sangrienta +4
1075	Daga Sangrienta +5
1076	Daga Sangrienta +6
1077	Daga Sangrienta +7
1078	Daga Sangrienta +8
1079	Daga Sangrienta +9
1080	Daga Costilla +0
1081	Daga Costilla +1
1082	Daga Costilla +2
1083	Daga Costilla +3
1084	Daga Costilla +4
1085	Daga Costilla +5
1086	Daga Costilla +6
1087	Daga Costilla +7
1088	Daga Costilla +8
1089	Daga Costilla +9
1090	Chakram +0
1091	Chakram +1
1092	Chakram +2
1093	Chakram +3
1094	Chakram +4
1095	Chakram +5
1096	Chakram +6
1097	Chakram +7
1098	Chakram +8
1099	Chakram +9
1100	Daga Dragón +0
1101	Daga Dragón +1
1102	Daga Dragón +2
1103	Daga Dragón +3
1104	Daga Dragón +4
1105	Daga Dragón +5
1106	Daga Dragón +6
1107	Daga Dragón +7
1108	Daga Dragón +8
1109	Daga Dragón +9
1110	Daga Relámpago +0
1111	Daga Relámpago +1
1112	Daga Relámpago +2
1113	Daga Relámpago +3
1114	Daga Relámpago +4
1115	Daga Relámpago +5
1116	Daga Relámpago +6
1117	Daga Relámpago +7
1118	Daga Relámpago +8
1119	Daga Relámpago +9
1120	Daga Siamesa +0
1121	Daga Siamesa +1
1122	Daga Siamesa +2
1123	Daga Siamesa +3
1124	Daga Siamesa +4
1125	Daga Siamesa +5
1126	Daga Siamesa +6
1127	Daga Siamesa +7
1128	Daga Siamesa +8
1129	Daga Siamesa +9
1130	Chakram Ala Demonio +0
1131	Chakram Ala Demonio +1
1132	Chakram Ala Demonio +2
1133	Chakram Ala Demonio +3
1134	Chakram Ala Demonio +4
1135	Chakram Ala Demonio +5
1136	Chakram Ala Demonio +6
1137	Chakram Ala Demonio +7
1138	Chakram Ala Demonio +8
1139	Chakram Ala Demonio +9
1140	Daga Diente de Sierra +0
1141	Daga Diente de Sierra +1
1142	Daga Diente de Sierra +2
1143	Daga Diente de Sierra +3
1144	Daga Diente de Sierra +4
1145	Daga Diente de Sierra +5
1146	Daga Diente de Sierra +6
1147	Daga Diente de Sierra +7
1148	Daga Diente de Sierra +8
1149	Daga Diente de Sierra +9
1150	Daga Luz del Sol +0
1151	Daga Luz del Sol +1
1152	Daga Luz del Sol +2
1153	Daga Luz del Sol +3
1154	Daga Luz del Sol +4
1155	Daga Luz del Sol +5
1156	Daga Luz del Sol +6
1157	Daga Luz del Sol +7
1158	Daga Luz del Sol +8
1159	Daga Luz del Sol +9
1160	Daga Arroyo +0
1161	Daga Arroyo +1
1162	Daga Arroyo +2
1163	Daga Arroyo +3
1164	Daga Arroyo +4
1165	Daga Arroyo +5
1166	Daga Arroyo +6
1167	Daga Arroyo +7
1168	Daga Arroyo +8
1169	Daga Arroyo +9
1170	Dirk Hoja Negra +0
1171	Dirk Hoja Negra +1
1172	Dirk Hoja Negra +2
1173	Dirk Hoja Negra +3
1174	Dirk Hoja Negra +4
1175	Dirk Hoja Negra +5
1176	Dirk Hoja Negra +6
1177	Dirk Hoja Negra +7
1178	Dirk Hoja Negra +8
1179	Dirk Hoja Negra +9
1340	Hoja cinco elementos+0
1341	Hoja cinco elementos+1
1342	Hoja cinco elementos+2
1343	Hoja cinco elementos+3
1344	Hoja cinco elementos+4
1345	Hoja cinco elementos+5
1346	Hoja cinco elementos+6
1347	Hoja cinco elementos+7
1348	Hoja cinco elementos+8
1349	Hoja cinco elementos+9
2000	Arco +0
2001	Arco +1
2002	Arco +2
2003	Arco +3
2004	Arco +4
2005	Arco +5
2006	Arco +6
2007	Arco +7
2008	Arco +8
2009	Arco +9
2010	Arco Largo +0
2011	Arco Largo +1
2012	Arco Largo +2
2013	Arco Largo +3
2014	Arco Largo +4
2015	Arco Largo +5
2016	Arco Largo +6
2017	Arco Largo +7
2018	Arco Largo +8
2019	Arco Largo +9
2020	Arco Compuesto +0
2021	Arco Compuesto +1
2022	Arco Compuesto +2
2023	Arco Compuesto +3
2024	Arco Compuesto +4
2025	Arco Compuesto +5
2026	Arco Compuesto +6
2027	Arco Compuesto +7
2028	Arco Compuesto +8
2029	Arco Compuesto +9
2030	Arco de Batalla +0
2031	Arco de Batalla +1
2032	Arco de Batalla +2
2033	Arco de Batalla +3
2034	Arco de Batalla +4
2035	Arco de Batalla +5
2036	Arco de Batalla +6
2037	Arco de Batalla +7
2038	Arco de Batalla +8
2039	Arco de Batalla +9
2040	Arco Largo de  Montar +0
2041	Arco Largo de  Montar +1
2042	Arco Largo de  Montar +2
2043	Arco Largo de  Montar +3
2044	Arco Largo de  Montar +4
2045	Arco Largo de  Montar +5
2046	Arco Largo de  Montar +6
2047	Arco Largo de  Montar +7
2048	Arco Largo de  Montar +8
2049	Arco Largo de  Montar +9
2050	Arco de Bat. de Monta +0
2051	Arco de Bat. de Monta +1
2052	Arco de Bat. de Monta +2
2053	Arco de Bat. de Monta +3
2054	Arco de Bat. de Monta +4
2055	Arco de Bat. de Monta +5
2056	Arco de Bat. de Monta +6
2057	Arco de Bat. de Monta +7
2058	Arco de Bat. de Monta +8
2059	Arco de Bat. de Monta +9
2060	Arco Cobre Artesanal +0
2061	Arco Cobre Artesanal +1
2062	Arco Cobre Artesanal +2
2063	Arco Cobre Artesanal +3
2064	Arco Cobre Artesanal +4
2065	Arco Cobre Artesanal +5
2066	Arco Cobre Artesanal +6
2067	Arco Cobre Artesanal +7
2068	Arco Cobre Artesanal +8
2069	Arco Cobre Artesanal +9
2070	Arco Ruina Negra +0
2071	Arco Ruina Negra +1
2072	Arco Ruina Negra +2
2073	Arco Ruina Negra +3
2074	Arco Ruina Negra +4
2075	Arco Ruina Negra +5
2076	Arco Ruina Negra +6
2077	Arco Ruina Negra +7
2078	Arco Ruina Negra +8
2079	Arco Ruina Negra +9
2080	Arco Ojo Rojo +0
2081	Arco Ojo Rojo +1
2082	Arco Ojo Rojo +2
2083	Arco Ojo Rojo +3
2084	Arco Ojo Rojo +4
2085	Arco Ojo Rojo +5
2086	Arco Ojo Rojo +6
2087	Arco Ojo Rojo +7
2088	Arco Ojo Rojo +8
2089	Arco Ojo Rojo +9
2090	Arco Hoja Espina +0
2091	Arco Hoja Espina +1
2092	Arco Hoja Espina +2
2093	Arco Hoja Espina +3
2094	Arco Hoja Espina +4
2095	Arco Hoja Espina +5
2096	Arco Hoja Espina +6
2097	Arco Hoja Espina +7
2098	Arco Hoja Espina +8
2099	Arco Hoja Espina +9
2100	Arco Cuerno de Toro +0
2101	Arco Cuerno de Toro +1
2102	Arco Cuerno de Toro +2
2103	Arco Cuerno de Toro +3
2104	Arco Cuerno de Toro +4
2105	Arco Cuerno de Toro +5
2106	Arco Cuerno de Toro +6
2107	Arco Cuerno de Toro +7
2108	Arco Cuerno de Toro +8
2109	Arco Cuerno de Toro +9
2110	Arco Unicornio +0
2111	Arco Unicornio +1
2112	Arco Unicornio +2
2113	Arco Unicornio +3
2114	Arco Unicornio +4
2115	Arco Unicornio +5
2116	Arco Unicornio +6
2117	Arco Unicornio +7
2118	Arco Unicornio +8
2119	Arco Unicornio +9
2120	Arco Ala Gigante +0
2121	Arco Ala Gigante +1
2122	Arco Ala Gigante +2
2123	Arco Ala Gigante +3
2124	Arco Ala Gigante +4
2125	Arco Ala Gigante +5
2126	Arco Ala Gigante +6
2127	Arco Ala Gigante +7
2128	Arco Ala Gigante +8
2129	Arco Ala Gigante +9
2130	Arco Albaricoque Div. +0
2131	Arco Albaricoque Div. +1
2132	Arco Albaricoque Div. +2
2133	Arco Albaricoque Div. +3
2134	Arco Albaricoque Div. +4
2135	Arco Albaricoque Div. +5
2136	Arco Albaricoque Div. +6
2137	Arco Albaricoque Div. +7
2138	Arco Albaricoque Div. +8
2139	Arco Albaricoque Div. +9
2140	Arco Dragón Amarillo +0
2141	Arco Dragón Amarillo +1
2142	Arco Dragón Amarillo +2
2143	Arco Dragón Amarillo +3
2144	Arco Dragón Amarillo +4
2145	Arco Dragón Amarillo +5
2146	Arco Dragón Amarillo +6
2147	Arco Dragón Amarillo +7
2148	Arco Dragón Amarillo +8
2149	Arco Dragón Amarillo +9
2150	Arco Cuerno +0
2151	Arco Cuerno +1
2152	Arco Cuerno +2
2153	Arco Cuerno +3
2154	Arco Cuerno +4
2155	Arco Cuerno +5
2156	Arco Cuerno +6
2157	Arco Cuerno +7
2158	Arco Cuerno +8
2159	Arco Cuerno +9
2160	Arco Demonio Gigante +0
2161	Arco Demonio Gigante +1
2162	Arco Demonio Gigante +2
2163	Arco Demonio Gigante +3
2164	Arco Demonio Gigante +4
2165	Arco Demonio Gigante +5
2166	Arco Demonio Gigante +6
2167	Arco Demonio Gigante +7
2168	Arco Demonio Gigante +8
2169	Arco Demonio Gigante +9
2170	Arco Cuervo de Acero +0
2171	Arco Cuervo de Acero +1
2172	Arco Cuervo de Acero +2
2173	Arco Cuervo de Acero +3
2174	Arco Cuervo de Acero +4
2175	Arco Cuervo de Acero +5
2176	Arco Cuervo de Acero +6
2177	Arco Cuervo de Acero +7
2178	Arco Cuervo de Acero +8
2179	Arco Cuervo de Acero +9
2180	Arco Dragón Azul +0
2181	Arco Dragón Azul +1
2182	Arco Dragón Azul +2
2183	Arco Dragón Azul +3
2184	Arco Dragón Azul +4
2185	Arco Dragón Azul +5
2186	Arco Dragón Azul +6
2187	Arco Dragón Azul +7
2188	Arco Dragón Azul +8
2189	Arco Dragón Azul +9
2190	Arco Fantasma +0
2191	Arco Fantasma +1
2192	Arco Fantasma +2
2193	Arco Fantasma +3
2194	Arco Fantasma +4
2195	Arco Fantasma +5
2196	Arco Fantasma +6
2197	Arco Fantasma +7
2198	Arco Fantasma +8
2199	Arco Fantasma +9
2370	Arco fénix+0
2371	Arco fénix+1
2372	Arco fénix+2
2373	Arco fénix+3
2374	Arco fénix+4
2375	Arco fénix+5
2376	Arco fénix+6
2377	Arco fénix+7
2378	Arco fénix+8
2379	Arco fénix+9
3000	Glaive +0
3001	Glaive +1
3002	Glaive +2
3003	Glaive +3
3004	Glaive +4
3005	Glaive +5
3006	Glaive +6
3007	Glaive +7
3008	Glaive +8
3009	Glaive +9
3010	Lanza +0
3011	Lanza +1
3012	Lanza +2
3013	Lanza +3
3014	Lanza +4
3015	Lanza +5
3016	Lanza +6
3017	Lanza +7
3018	Lanza +8
3019	Lanza +9
3020	Guillotina +0
3021	Guillotina +1
3022	Guillotina +2
3023	Guillotina +3
3024	Guillotina +4
3025	Guillotina +5
3026	Guillotina +6
3027	Guillotina +7
3028	Guillotina +8
3029	Guillotina +9
3030	Lanza Araña +0
3031	Lanza Araña +1
3032	Lanza Araña +2
3033	Lanza Araña +3
3034	Lanza Araña +4
3035	Lanza Araña +5
3036	Lanza Araña +6
3037	Lanza Araña +7
3038	Lanza Araña +8
3039	Lanza Araña +9
3040	Gisarme +0
3041	Gisarme +1
3042	Gisarme +2
3043	Gisarme +3
3044	Gisarme +4
3045	Gisarme +5
3046	Gisarme +6
3047	Gisarme +7
3048	Gisarme +8
3049	Gisarme +9
3050	Guadaña de Guerra +0
3051	Guadaña de Guerra +1
3052	Guadaña de Guerra +2
3053	Guadaña de Guerra +3
3054	Guadaña de Guerra +4
3055	Guadaña de Guerra +5
3056	Guadaña de Guerra +6
3057	Guadaña de Guerra +7
3058	Guadaña de Guerra +8
3059	Guadaña de Guerra +9
3060	Horca de Batalla +0
3061	Horca de Batalla +1
3062	Horca de Batalla +2
3063	Horca de Batalla +3
3064	Horca de Batalla +4
3065	Horca de Batalla +5
3066	Horca de Batalla +6
3067	Horca de Batalla +7
3068	Horca de Batalla +8
3069	Horca de Batalla +9
3070	Halberd +0
3071	Halberd +1
3072	Halberd +2
3073	Halberd +3
3074	Halberd +4
3075	Halberd +5
3076	Halberd +6
3077	Halberd +7
3078	Halberd +8
3079	Halberd +9
3080	Hacha Gigante +0
3081	Hacha Gigante +1
3082	Hacha Gigante +2
3083	Hacha Gigante +3
3084	Hacha Gigante +4
3085	Hacha Gigante +5
3086	Hacha Gigante +6
3087	Hacha Gigante +7
3088	Hacha Gigante +8
3089	Hacha Gigante +9
3090	Pico Glacial +0
3091	Pico Glacial +1
3092	Pico Glacial +2
3093	Pico Glacial +3
3094	Pico Glacial +4
3095	Pico Glacial +5
3096	Pico Glacial +6
3097	Pico Glacial +7
3098	Pico Glacial +8
3099	Pico Glacial +9
3100	Espada Doce Espíritus +0
3101	Espada Doce Espíritus +1
3102	Espada Doce Espíritus +2
3103	Espada Doce Espíritus +3
3104	Espada Doce Espíritus +4
3105	Espada Doce Espíritus +5
3106	Espada Doce Espíritus +6
3107	Espada Doce Espíritus +7
3108	Espada Doce Espíritus +8
3109	Espada Doce Espíritus +9
3110	Hoja Salvación +0
3111	Hoja Salvación +1
3112	Hoja Salvación +2
3113	Hoja Salvación +3
3114	Hoja Salvación +4
3115	Hoja Salvación +5
3116	Hoja Salvación +6
3117	Hoja Salvación +7
3118	Hoja Salvación +8
3119	Hoja Salvación +9
3120	León Asesino +0
3121	León Asesino +1
3122	León Asesino +2
3123	León Asesino +3
3124	León Asesino +4
3125	León Asesino +5
3126	León Asesino +6
3127	León Asesino +7
3128	León Asesino +8
3129	León Asesino +9
3130	Partidario +0
3131	Partidario +1
3132	Partidario +2
3133	Partidario +3
3134	Partidario +4
3135	Partidario +5
3136	Partidario +6
3137	Partidario +7
3138	Partidario +8
3139	Partidario +9
3140	Esp. Electromagnética +0
3141	Esp. Electromagnética +1
3142	Esp. Electromagnética +2
3143	Esp. Electromagnética +3
3144	Esp. Electromagnética +4
3145	Esp. Electromagnética +5
3146	Esp. Electromagnética +6
3147	Esp. Electromagnética +7
3148	Esp. Electromagnética +8
3149	Esp. Electromagnética +9
3150	Hoja Roba Almas +0
3151	Hoja Roba Almas +1
3152	Hoja Roba Almas +2
3153	Hoja Roba Almas +3
3154	Hoja Roba Almas +4
3155	Hoja Roba Almas +5
3156	Hoja Roba Almas +6
3157	Hoja Roba Almas +7
3158	Hoja Roba Almas +8
3159	Hoja Roba Almas +9
3160	Espada Resentimiento +0
3161	Espada Resentimiento +1
3162	Espada Resentimiento +2
3163	Espada Resentimiento +3
3164	Espada Resentimiento +4
3165	Espada Resentimiento +5
3166	Espada Resentimiento +6
3167	Espada Resentimiento +7
3168	Espada Resentimiento +8
3169	Espada Resentimiento +9
3170	Asesino Dragón Amar. +0
3171	Asesino Dragón Amar. +1
3172	Asesino Dragón Amar. +2
3173	Asesino Dragón Amar. +3
3174	Asesino Dragón Amar. +4
3175	Asesino Dragón Amar. +5
3176	Asesino Dragón Amar. +6
3177	Asesino Dragón Amar. +7
3178	Asesino Dragón Amar. +8
3179	Asesino Dragón Amar. +9
3180	Asesino Dragón Azul +0
3181	Asesino Dragón Azul +1
3182	Asesino Dragón Azul +2
3183	Asesino Dragón Azul +3
3184	Asesino Dragón Azul +4
3185	Asesino Dragón Azul +5
3186	Asesino Dragón Azul +6
3187	Asesino Dragón Azul +7
3188	Asesino Dragón Azul +8
3189	Asesino Dragón Azul +9
3190	Hoja solar+0
3191	Hoja solar+1
3192	Hoja solar+2
3193	Hoja solar+3
3194	Hoja solar+4
3195	Hoja solar+5
3196	Hoja solar+6
3197	Hoja solar+7
3198	Hoja solar+8
3199	Hoja solar+9
3200	Espada Dios Dragón +0
3201	Espada Dios Dragón +1
3202	Espada Dios Dragón +2
3203	Espada Dios Dragón +3
3204	Espada Dios Dragón +4
3205	Espada Dios Dragón +5
3206	Espada Dios Dragón +6
3207	Espada Dios Dragón +7
3208	Espada Dios Dragón +8
3209	Espada Dios Dragón +9
3210	Hierro Rojo +0
3211	Hierro Rojo +1
3212	Hierro Rojo +2
3213	Hierro Rojo +3
3214	Hierro Rojo +4
3215	Hierro Rojo +5
3216	Hierro Rojo +6
3217	Hierro Rojo +7
3218	Hierro Rojo +8
3219	Hierro Rojo +9
4000	Amija +0
4001	Amija +1
4002	Amija +2
4003	Amija +3
4004	Amija +4
4005	Amija +5
4006	Amija +6
4007	Amija +7
4008	Amija +8
4009	Amija +9
4010	Nueve Hojas +0
4011	Nueve Hojas +1
4012	Nueve Hojas +2
4013	Nueve Hojas +3
4014	Nueve Hojas +4
4015	Nueve Hojas +5
4016	Nueve Hojas +6
4017	Nueve Hojas +7
4018	Nueve Hojas +8
4019	Nueve Hojas +9
4020	Cuchillo Corto +0
4021	Cuchillo Corto +1
4022	Cuchillo Corto +2
4023	Cuchillo Corto +3
4024	Cuchillo Corto +4
4025	Cuchillo Corto +5
4026	Cuchillo Corto +6
4027	Cuchillo Corto +7
4028	Cuchillo Corto +8
4029	Cuchillo Corto +9
4030	Daga Gemela Lunar +0
4031	Daga Gemela Lunar +1
4032	Daga Gemela Lunar +2
4033	Daga Gemela Lunar +3
4034	Daga Gemela Lunar +4
4035	Daga Gemela Lunar +5
4036	Daga Gemela Lunar +6
4037	Daga Gemela Lunar +7
4038	Daga Gemela Lunar +8
4039	Daga Gemela Lunar +9
4040	Cuchillo Desalmado +0
4041	Cuchillo Desalmado +1
4042	Cuchillo Desalmado +2
4043	Cuchillo Desalmado +3
4044	Cuchillo Desalmado +4
4045	Cuchillo Desalmado +5
4046	Cuchillo Desalmado +6
4047	Cuchillo Desalmado +7
4048	Cuchillo Desalmado +8
4049	Cuchillo Desalmado +9
5000	Campana de Cobre +0
5001	Campana de Cobre +1
5002	Campana de Cobre +2
5003	Campana de Cobre +3
5004	Campana de Cobre +4
5005	Campana de Cobre +5
5006	Campana de Cobre +6
5007	Campana de Cobre +7
5008	Campana de Cobre +8
5009	Campana de Cobre +9
5010	Campana de Plata +0
5011	Campana de Plata +1
5012	Campana de Plata +2
5013	Campana de Plata +3
5014	Campana de Plata +4
5015	Campana de Plata +5
5016	Campana de Plata +6
5017	Campana de Plata +7
5018	Campana de Plata +8
5019	Campana de Plata +9
5020	Campana Dorada +0
5021	Campana Dorada +1
5022	Campana Dorada +2
5023	Campana Dorada +3
5024	Campana Dorada +4
