AFF_LOVE_POINT	Puntos de amor: %d%%
EMOTION_FORGIVE	Perdón
EMOTION_FRENCH_KISS	Beso Francés
EMOTION_JOY	Alegría
EMOTION_SAD	Triste
EMOTION_SHY	Rechazo
EMOTION_SLAP	Golpe
EMPIRE_A	Reino Shinsoo
EMPIRE_B	Reino Chunjo
EMPIRE_C	Reino Jinno
EXCHANGE_CANNOT_GIVE	No puedes comerciar este artículo.
EXCHANGE_CANT_EDIT_MONEY	No puedes cambiar ahora la suma.
EXCHANGE_FAILURE_EQUIP_ITEM	No puedes intercambiar objetos equipados.
EXCHANGE_MONEY	Suma
EXCHANGE_TITLE	Comerciar con %s
FISHING_FAILURE	Perdiste el cebo.
FISHING_NOTIFY1	Parece que hay %s enganchado.
FISHING_NOTIFY2	Pareció que %s fue capturado.
FISHING_SUCCESS1	¡Has capturado %s!
FISHING_SUCCESS2	¡Tienes %s!
FISHING_UNKNOWN	No se lo que cogí.
FISHING_WRONG_PLACE	No puedo pescar aquí.
FOR_FEMALE	para mujer
FOR_MALE	para hombre
GAME_CANNOT_MINING	No puedes buscar minerales mientras montas.
GAME_CANNOT_PICK_ITEM	No puedes recoger este objeto ya que no lo ganaste.
GAME_INIT_ERROR_CURSOR	El cursor no pudo ser establecido.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 debe estar instalado para que este juego pueda arrancar.\nInstala DirectX 8.1 o superior.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	No se ha encontrado ningún dispositivo gráfico.\nRevisa si tu tarjeta VGA está instalada correctamente.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	El dispositivo gráfico no está establecido.\nRevisa si tienes tarjeta VGA.\nAlternativamente, puedes activar el hardware acelerador.\n(Fija el hardware acelerador al máximo. \nPanel de Control->Pantalla->Configuración->Avanzado->Registro de tarjeta.)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La tarjeta gráfica del ordenador no soporta el modo de ventana al modo 32bit.\nCambialo al modo 16bit o a Modo Pantalla Completa.
GAME_INIT_ERROR_ITEM_PROTO	No existen datos de objetos.\nInstala el juego de nuevo.
GAME_INIT_ERROR_MAIN_WINDOW	El servidor no pudo ser establecido
GAME_INIT_ERROR_MOB_PROTO	No existen datos de monstruos.\nInstala el juego de nuevo.
GAME_INIT_ERROR_NETWORK	No pudieron establecerse dispositivos de red.\nRevisa tu conexión a internet.
GAME_PICK_MONEY	Has recibido %s Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	La altura no es de 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	La altura no es de 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	El ancho no es de 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	El ancho no es de 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	El juego no soporta esta imagen.
GUILDMARK_UPLOADER_ERROR_PATH	Mueve los datos a la carpeta metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	No se seleccionó una carpeta de imágenes.
GUILDWAR_CTF_TITLE	Bandera capturada.
GUILDWAR_NORMAL_TITLE	Campo de batalla
GUILDWAR_QUESTION_LINE_1	El Gremio %s ha declarado la guerra a tu Gremio.
GUILDWAR_QUESTION_LINE_2	¿Aceptas? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Gremio teatro de guerra
GUILD_BUILDING_GRADE	Rank
GUILD_BUILDING_NAME	Nombre de construcción
GUILD_CANNOT_HEAL_GSP_ANYMORE	La Batalla Dragón Fantasma ya está ocupada totalmente.
GUILD_COMMENT	Escribe
GUILD_CREATE_ERROR_INSULT_NAME	Nombre de Gremio no válido.
GUILD_DEFAULT_GRADE	Miembros de Gremio
GUILD_DELETE	Borrar
GUILD_DEPOSIT	Depósito
GUILD_DO_YOU_HEAL_GSP	¿Deseas restaurar con %d Yang %d el Dragón Fantasma?
GUILD_DO_YOU_JOIN	, ¿quieres entrar en el Gremio?
GUILD_EMPTY_AREA	Tierra vacia
GUILD_ENEMY_GUILD_NAME	Nombre de Gremio del enemigo
GUILD_FACILITY	Dependencias
GUILD_GEM	Gema
GUILD_HEADQUARTER	Edificio Principal
GUILD_HEAL_GSP	Restaurar Dragón Fantasma
GUILD_INFO_ENEMY_GUILD_EMPTY	Ninguno
GUILD_MARK_NOT_ENOUGH_LEVEL	Se necesita por lo menos el nivel 4
GUILD_NAME	Nombre de Gremio
GUILD_NOT_ENOUGH_MATERIAL	No tienes suficientes recursos para esta construcción.
GUILD_NOT_ENOUGH_MONEY	No tienes suficiente Yang para este edificio.
GUILD_NO_NOTICE_PERMISSION	No tienes los permisos para realizar un anuncio.
GUILD_OBJECT	Objetos
GUILD_OFFER_EXP	Experiencia a invertir
GUILD_SHORT_EXP	Aún no hay suficiente experiencia
GUILD_TILE_BASEINFO	Información Básica
GUILD_TILE_BOARD	Pizarra
GUILD_TILE_GRADE	Administración Derechos
GUILD_TILE_INFO	Información de Gremio
GUILD_TILE_MEMBER	Miembros del Gremio
GUILD_TILE_SKILL	Habilidades del Gremio
GUILD_WAR_LIMIT_30MIN	Tiempo: 30 minutos
GUILD_WAR_REWARD_POTION	Recompensa: El ganador recibe una poción.
GUILD_WAR_USE_BATTLE_MAP	Usar Teatro de guerra de Gremio
GUILD_WAR_USE_NORMAL_MAP	Usar Mapa Normal
GUILD_WAR_WIN_CHECK_SCORE	El mayor resultado gana la guerra.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Captura la bandera de tu enemigo y llévala a tu base.
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	Captura la bandera de tu enemigo y llévala a tu base.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Derrota a todos los enemigos para ganar.
GUILD_WITHDRAW	Alternativa
GUILD_YOU_DO_NOT_JOIN	No eres miembro de ningún gremio
HORSE_HEALTH0	Muerto
HORSE_HEALTH1	Hambriento
HORSE_HEALTH2	Muerto de Hambre
HORSE_HEALTH3	Lleno
HORSE_LEVEL1	Caballo normal
HORSE_LEVEL2	Caballo de Batalla
HORSE_LEVEL3	Caballo militar
HOUR	Horas
HOW_MANY_ITEM_DO_YOU_DROP1	¿Deseas tirar %s?
HOW_MANY_ITEM_DO_YOU_DROP2	¿Deseas tirar %s %d?
INPUT_MATRIX_CARD_NUMBER	Introduce código de Tarjeta Matrix.
INPUT_MATRIX_CARD_TITLE	Tarjeta Matrix
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introduce aquí el código de borrado de los ajustes de tu cuenta.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Borrar personaje
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Papel de retorno no puede ser combinado.
INVENTORY_REALLY_USE_ITEM	¿Deseas usar este objeto?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ninja aficionado
JOB_ASSASSIN1	Poder de los Ninjas
JOB_ASSASSIN2	Nomuerto
JOB_SHAMAN	Chamán
JOB_SHAMAN0	Chamán Aficionado
JOB_SHAMAN1	Poder del Dragón
JOB_SHAMAN2	Poder del Relámpago
JOB_SURA	Sura
JOB_SURA0	Sura Aficionado
JOB_SURA1	Poder de la Visión Engañosa
JOB_SURA2	Poder de Magia Negra
JOB_WARRIOR	Guerrero
JOB_WARRIOR0	Guerrero Aficionado
JOB_WARRIOR1	Poder de Arahan
JOB_WARRIOR2	Poder de Partisanos
LEFT_TIME	Tiempo restante
LOGIN_CONNECT_FAILURE	Error al conectar al servidor.
LOGIN_CONNECT_SUCCESS	Estás conectado al servidor
LOGIN_CONNETING	Serás conectado al servidor.
LOGIN_FAILURE_ALREAY	Tu cuenta ya está conectada.
LOGIN_FAILURE_BE_SAME_KEY	Problema de registro.
LOGIN_FAILURE_BLOCK_ID	Tu cuenta está baneada.
LOGIN_FAILURE_BLOCK_LOGIN	¡Por favor, elige uno de los otros servidores!
LOGIN_FAILURE_NOBILL	Tu cuenta no tiene horas de juego.
LOGIN_FAILURE_NOT_AVAIL	Tu cuenta no puede ser usada.
LOGIN_FAILURE_NOT_EXIST_ID	Nombre de cuenta o contraseña incorrectos
LOGIN_FAILURE_REPAIR_ID	Han sido reestablecidos objetos para esta cuenta.
LOGIN_FAILURE_SHUTDOWN	Este servidor aún no está abierto.
LOGIN_FAILURE_TOO_MANY_USER	No puedes conectar porque hay demasiados jugadores conectados.
LOGIN_FAILURE_UNKNOWN	No te puedes registrar por razones desconocidas.
LOGIN_FAILURE_WEB_BLOCK	Has sido bloqueado del sitio web. Por favor comprueba tus EMails.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Has introducido un número incorrecto.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Has introducido un número incorrecto tres veces. /n Tu conexión será deshabilitada.
LOGIN_FAILURE_WRONG_PASSWORD	Nombre de cuenta o contraseña incorrectos
LOGIN_INPUT_ID	Introduce el ID.
LOGIN_INPUT_PASSWORD	Introduce la contraseña.
LOGIN_PROCESSING	Proceso de entrada activado.
MALL_CANNOT_INSERT	No puedes poner el objeto.
MALL_PASSWORD_TITLE	Contraseña
MAP_A1	Área Yongan
MAP_A2	Valle de Seungryong
MAP_A3	Área Yayang
MAP_AG	Jungrang
MAP_B1	Área Joan
MAP_B2	Valle de Imji
MAP_B3	Área Bokjung
MAP_BG	Waryong
MAP_C1	Área Pyungmoo
MAP_C2	Valle de Bangsan
MAP_C3	Área Bakra
MAP_CG	Imha
MAP_DESERT	Desierto Yongbi
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Tierra de Gigantes
MAP_SKELTOWER	Torre Gumsan
MAP_SNOW	Monte Sohan
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Templo Hwang
MAP_TREE	Lungsam
MAP_TRENT02	Bosque Rojo
MAP_WL	Campo Serpiente
MESSENGER_ADD_FRIEND	Añadir Amigo
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s te añadió como amigo.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	¿Aceptar?
MESSENGER_DO_YOU_DELETE	¿Borrar?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	¿Deseas borrar el número de teléfono movil?
MESSENGER_DO_YOU_MOVE	¿Deseas continuar?
MESSENGER_EMPTY_LIST	Vacío
MESSENGER_FAMILY	Familia
MESSENGER_FRIEND	Amigo
MESSENGER_GUILD	Gremio
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Introducir el código de confirmación que fue enviado a tu teléfono móvil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Intruducir número de confirmación
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Introducir el número de teléfono móvil para el envío del mensaje de texto.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	¿Deseas introducir el número ahora?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Introducir número de móvil.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Enviar mensaje.
MINIMAP	Mini Mapa
MINIMAP_CANNOT_SEE	El Mini Mapa no puede ser visto.
MINIMAP_CAN_NOT_SHOW_AREAMAP	El Mini Mapa no puede ser mostrado.
MINIMAP_DEC_SCALE	Minimizar
MINIMAP_INC_SCALE	Maximizar
MINIMAP_OBSERVER_COUNT	%d observadores
MINIMAP_SHOW_AREAMAP	Mapa Grande
MINUTE	Minutos
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Diez Mil
MONETARY_UNIT2	Cien billones
MONEY_INPUT_DIALOG_SELLPRICE	Precio de venta:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	No puedes mover el objeto cuando tienes abierto un almacén privado.
MUSIC_EMPTY_MUSIC_LIST	Sin música de fondo.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 música estándar
MUSIC_NOT_SELECT_MUSIC	No elegido archivo de música.
NEEFD_REST	Primero debes descansar.
NOT_YET_SUPPORT	Aún no soportado
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	No puedes activar el Modo Gremio cuando no perteneces a ningún gremio.
OPTION_PVPMODE_NOT_SUPPORT	No puedes elegir esta configuración en modo PvP.
OPTION_PVPMODE_PROTECT	Tienes que tener al menos el nivel %d para poder usar el modo PvP.
PARTY_BONUS_ATTACKER	Valor de ataque: +%d
PARTY_BONUS_BERSERKER	Velocidad de ataque: +%d
PARTY_BONUS_BUFFER	Duración de Habilidad: +%d
PARTY_BONUS_DEFENDER	Defensa: +%d
PARTY_BONUS_EXP	Bono EXP: %d%%
PARTY_BONUS_SKILL_MASTER	Max. SP: +%d
PARTY_BONUS_TANKER	Max. HP: +%d
PARTY_BREAK_UP	Borrar Grupo
PARTY_DO_YOU_ACCEPT	 quiere unirse al Grupo.
PARTY_DO_YOU_JOIN	, ¿deseas aceptar la invitación?
PARTY_EXP_DISTRIBUTION_MODE	Distribución de EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Distribución de Nivel
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Un nivel más alto recibe más EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Distribucion uniforme
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Todos los miembros del grupo reciben la misma EXP.
PARTY_HEAL_ALL_MEMBER	Restaurar todo.
PARTY_INCREASE_AREA_150	Alcance del grupo aumentado por el factor 1.5.
PARTY_INCREASE_AREA_200	Rango del grupo aumentado por el factor 2.
PARTY_LEAVE	Salir del grupo.
PARTY_LONGTIME_BONUS_EXP	Bono EXP por un largo juego en grupo: +%d%%
PARTY_MEMBER_OFFLINE	[Desconectado]
PARTY_RECALL_MEMBER	Llamar miembro del grupo.
PARTY_REGEN_BONUS	Bono por HP- + SP regeneración: +%d%%
PARTY_REQUEST_DENIED	Has rechazado la invitación al grupo.
PARTY_SET_ATTACKER	Constituir como atacante.
PARTY_SET_BERSERKER	Constituir como Berserker.
PARTY_SET_BUFFER	Constituir como bloqueador.
PARTY_SET_DEFENDER	Constituir como Defensor.
PARTY_SET_NORMAL	Retirar ajustes.
PARTY_SET_SKILL_MASTER	Constituir como Maestro de Habilidad.
PARTY_SET_TANKER	Constituir como luchador con hoja.
PARTY_SKILL_ATTACKER	Valor de ataque básico del atacante +%,0f
PARTY_SKILL_BERSERKER	Velocidad de ataque de Berserker +%,0f
PARTY_SKILL_BUFFER	Bloqueador de Duración de Habilidad +%,0f
PARTY_SKILL_DEFENDER	Defensa defensor +%,0f
PARTY_SKILL_HP_REGEN	HP Regeneración +%,0f%%
PARTY_SKILL_PARTY_AREA	Alcance del grupo +%d%%
PARTY_SKILL_SKILL_MASTER	Max. SP Maesto de Habilidad +%,0f
PARTY_SKILL_SP_REGEN	SP Regeneración +%,0f%%
PARTY_SKILL_TANKER	Max. HP Luchador con hoja +%,0f
PARTY_SKILL_WARP	Posible llamar a miembros de grupo
PASSWORD_TITLE	Guardar Contraseña
PICK_ITEM_TITLE	Número del Objeto
PICK_MONEY_TITLE	Suma
PRIVATE_SHOP_CANNOT_SELL_ITEM	No puedes vender este objeto en el almacén privado.
PRIVATE_SHOP_CLOSE_QUESTION	¿Deseas cerrar el almacén privado?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nombre del almacén privado.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Precio
PVP_LEVEL0	Chivalric
PVP_LEVEL1	Noble
PVP_LEVEL2	Bueno
PVP_LEVEL3	Amigable
PVP_LEVEL4	Neutral
PVP_LEVEL5	Agresivo
PVP_LEVEL6	Fraudulento
PVP_LEVEL7	Malicioso
PVP_LEVEL8	Cruel
PVP_MODE_GUILD	Modo PvP Gremio activado.
PVP_MODE_KILL	PvP Libre activado.
PVP_MODE_NORMAL	PvP Paz activado.
PVP_MODE_PROTECT	Protección PvP activada.
PVP_MODE_REVENGE	PvP Agresivo activado.
PVP_OPTION_KILL	Libre
PVP_OPTION_NORMAL	Paz
PVP_OPTION_PROTECT	Protección
PVP_OPTION_REVENGE	Hostil
QUEST_APPEND	Nueva misión adquirida.
QUEST_MIN	Min.
QUEST_SEC	Seg.
QUEST_TIMEOVER	Tiempo Expirado
QUEST_UNLIMITED_TIME	Sin límite de tiempo.
QUEST_ZEROSEC	0 Seg.
QUICKSLOT_REGISTER_DISABLE_ITEM	Este objeto no puede añadirse en el Campo de Acceso Rápido.
RECEIVE_MESSAGE	%s te ha enviado un mensaje.
REFINE_COST	Coste por Mejora: %d Yang
REFINE_DESTROY_WARNING	Este objeto puede ser destruido en la mejora.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Esto aumentará la probabilidad de mejorar.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	pero si fallas el artículo será destruido. ¿Deseas continuar?
REFINE_DOWN_GRADE_WARNING	El objeto puede ser degradado así.
REFINE_DO_YOU_SEPARATE_METIN	¿Deseas extraer la piedra Espiritu?
REFINE_FAILURE	Has fallado.
REFINE_FAILURE_CAN_NOT_ATTACH	%s no puede ser incluido en este objeto.
REFINE_FAILURE_EQUIP_ITEM	No puedes mejorar un objeto equipado.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	No hay ninguna piedra que pueda ser extraída.
REFINE_FAILURE_NEED_BETTER_SCROLL	Necesitas un mejor Pergamino de Avance.
REFINE_FAILURE_NO_GOLD_SOCKET	No hay socket de oro para incluir %s .
REFINE_FAILURE_NO_MORE_SOCKET	No puedes hacer más sockets.
REFINE_FAILURE_NO_SOCKET0	No hay socket para incluir %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	No puedes hacer más sockets en este objeto.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Este objeto no puede ser mejorado.
REFINE_SUCCESS	La mejora del objeto se ha realizado con éxito.
REFINE_SUCCESS_PROBALITY	Probabilidad de mejora %d%%
REFINE_WARNING2	¿Deseas continuar?
SAFEBOX_ERROR	Has introducido una contraseña incorrecta.
SAFEBOX_SELL_DISABLE_SAFEITEM	No puedes vender ninguno de los objetos guardados.
SAFEBOX_WRONG_PASSWORD	Las contraseñas deben ser idénticas.
SCREENSHOT_SAVE1	está guardada en
SCREENSHOT_SAVE2	Archivo de captura de pantalla.
SCREENSHOT_SAVE_FAILURE	Guardado de captura de pantalla fallado.
SECOND	Seg
SELECT_CAN_NOT_DELETE	No puedes borrar este personaje.
SELECT_CHANGED_NAME	Has cambiado el nombre del personaje.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	El nombre del personaje ya existe.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Prueba de nuevo.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Eso
SELECT_CHANGE_NAME_TITLE	Cambiar nombre de personaje.
SELECT_DELEING	El personaje será borrado.
SELECT_DELETED	Borrado con éxito.
SELECT_DO_YOU_DELETE_REALLY	¿Deseas continuar?
SELECT_EMPTY_SLOT	Este es un campo vacio.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Intruducir un nuevo nombre de personaje.
SELECT_NOT_JOIN_GUILD	Sin Gremio
SHOP_BUY_INFO	Puedes compar un objeto en una tienda eligiéndolo en la ventana.
SHOP_CANNOT_SELL_EQUIPMENT	No puedes vender el objeto equipado.
SHOP_CANNOT_SELL_ITEM	Este objeto no puede venderse.
SHOP_ERROR_UNKNOWN	Error de Tienda desconocido: %s
SHOP_INVALID_POS	Este objeto no puede ser usado aquí.
SHOP_INVENTORY_FULL	Tu inventario está lleno.
SHOP_NOT_ENOUGH_MONEY	No tienes suficiente Yang
SHOP_SELL_INFO	Elige el artículo a vender en la ventana de inventario.
SHOP_SOLDOUT	Vendido
SHOT_ERROR_UNKNOWN	Error de Ataque a larga distancia desconocido: %s
SKILL_BOHO	Reflectar
SKILL_BUDONG	no se usa más
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Necesitas EXP para aprender esta habilidad
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Necesitas un Libro para aprender esta habilidad.
SKILL_CHEONGEUN	Cuerpo Fuerte.
SKILL_CRITICAL	Golpe Crítico
SKILL_ENCHANT_POISON	Aplicar veneno
SKILL_EUNHYEONG	Camuflaje
SKILL_FAINT	Apagón
SKILL_FIND_TRAP	Trampa de búsqueda
SKILL_FIRE	Fuego permanente
SKILL_FISHMIND	Esfera de pez es usada
SKILL_GAMJI	Capturar
SKILL_GEOMGYEONG	Aura de espada
SKILL_GEONGON	SKILL_GEONGON no se usa más
SKILL_GICHEON	Ayuda del Dragón
SKILL_GIGONG	Rotación de Chi
SKILL_GONGPO	Miedo
SKILL_GRADE_NAME_GRAND_MASTER	%s Gran Master
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Master Perfecto
SKILL_GROUP_ASSASSIN_1	Hoja
SKILL_GROUP_ASSASSIN_2	Arco
SKILL_GROUP_HORSE	Equitación
SKILL_GROUP_SHAMAN_1	Dragón
SKILL_GROUP_SHAMAN_2	Curación
SKILL_GROUP_SURA_1	Arma
SKILL_GROUP_SURA_2	Magia
SKILL_GROUP_WARRIOR_1	Cuerpo
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Hoja encantada
SKILL_GYEONGGONG	Camino pluma
SKILL_HEUKSIN	Protección oscura
SKILL_HOSIN	Bendición
SKILL_HWAYEOM	SKILL_HWAYEOM no se usa más
SKILL_HYEOLMA	SKILL_HYEOLMA no se usa más.
SKILL_INC_ATKSPD	Aumenta la velocidad de ataque
SKILL_INC_MOVSPD	Aumenta la velocidad de movimiento
SKILL_INMA	SKILL_INMA no se usa más
SKILL_JEOJU	Maldición
SKILL_JEONGEOP	Curación
SKILL_JEONGWI	Berserk
SKILL_JEONSINBANGEO	Defensa total
SKILL_JEONSINGONGGYEOK	Ataque total
SKILL_JEUNGCHE	SKILL_JEUNGCHE No se usa más
SKILL_JEUNGHON	SKILL_JEUNGHON No se usa más
SKILL_JEUNGRYEOK	Ataque +
SKILL_JEUNGSOK	Velocidad +
SKILL_JIGAM	SKILL_JIGAM No se usa más
SKILL_JIPJUNG	SKILL_JIPJUNG No se usa más
SKILL_JUMAGAP	Armadura encantada
SKILL_JUMAGEOM	SKILL_JUMAGEOM No se usa más
SKILL_KWAEGEOM	SKILL_KWAEGEOM No se usa más
SKILL_KWAESOK	Velocidad
