ACCE_ABSORB_COST	Absorption price: %d
COMB_NOT_ALL_SLOT_APPEND_ITEM	You need a second costume to transfer bonuses.
COMB_NOT_FULL_BOOK	No, we can't do business like this. As I told you already, I'm only open to trade if you offer me 10 books in exchange.
COMB_NOT_ITEM_IN_INVENTORY	You cannot use equipped items.
COMB_NOT_MEDIUM_ITEM	This item cannot be used.
COMB_WILL_REMOVE_MATERIAL	Costume 2 will be destroyed.
CREATE_ERROR_GM_NAME	You are not allowed to use 'GM' in your character name.	
CREATE_ERROR_INSULT_NAME	This name is invalid.	
CREATE_ERROR_LIMIT_LEVEL	Your character must be at least level 80.
CREATE_ERROR_TIME_LIMIT	You can only create one character every 30 seconds.
CREATE_ERROR_WRONG_STRING	Your character name cannot contain special characters.
CREATE_EXIST_SAME_NAME	Another character already has this name.	
CREATE_FAILURE	You cannot create the character	
CREATE_FULL	You cannot create any more characters.
CREATE_GM_NAME	GM	
CREATE_INPUT_NAME	Enter the name.	
CREATE_PLUS_STAT	There are still status points available. 	
DAY	Days	
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	You cannot move any items when a request is in progress.
DO_YOU_BUY_ITEM1	Do you want to buy %s for %s Yang?
DO_YOU_BUY_ITEM2	Do you want to buy %s (%s lots) for %s Yang?
DO_YOU_BUY_ITEM3	Do you want to buy %s for %s Won and %s Yang?
DO_YOU_BUY_ITEM4	Do you want to buy %s (%s lots) for %s Won and %s Yang?
DO_YOU_DROP_MONEY	Do you want to drop %d Yang?
DO_YOU_SELL_ITEM1	Do you want to sell %s for %s Yang?
DO_YOU_SELL_ITEM2	Do you want to sell %s (%s lots) for %s Yang?
DRAGON_SOUL_CANNOT_REFINE	This Dragon Stone cannot be refined.
DRAGON_SOUL_CANNOT_REFINE_MORE	This Dragon Stone has already reached the highest level.
DRAGON_SOUL_UNEQUIP_WARNING1	The Dragonstone cant be destroyed.
DRAGON_SOUL_UNEQUIP_WARNING2	Want to remove it?
DRAGON_SOUL_EXPIRED	Expired Dragon Stone
DRAGON_SOUL_INVALID_DRAGON_SOUL	That is the wrong Dragon Stone.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	That is not a Dragon Stone.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	That is not the right Dragon Stone.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	You do not have enough material to refine.
DRAGON_SOUL_NOT_MATCHED_SLOT	The Dragon Stone does not fit in this slot.
DRAGON_SOUL_STEP_LEVEL1	Clarity: matt,
DRAGON_SOUL_STEP_LEVEL2	Clarity: clear,
DRAGON_SOUL_STEP_LEVEL3	Clarity: flawless,
DRAGON_SOUL_STEP_LEVEL4	Clarity: brilliant,
DRAGON_SOUL_STEP_LEVEL5	Clarity: excellent,
DRAGON_SOUL_STRENGTH	Level: +%d
DRAGON_SOUL_UNEQUIP_WARNING1	The Dragon Stone may be destroyed in the process.
DRAGON_SOUL_UNEQUIP_WARNING2	Would you still like to continue?
DRAGON_SOUL_UNMATCHED_SLOT	That is the wrong slot.
DRAGON_SOUL_UNQUALIFIED	You cannot yet use Dragon Stone alchemy.
DROP_ITEM_FAILURE_EQUIP_ITEM	You cannot drop equipped items.
DROP_ITEM_FAILURE_PRIVATE_SHOP	You cannot drop any items as long as a private shop is open.
DROP_MONEY_FAILURE_1000_OVER	You can drop a maximum of 999 Yang.
EMOTION_ANGRY	Aggravating	
EMOTION_ATTRACTIVE	Seduction	
EMOTION_BANTER	Sneering	
EMOTION_CHEERS_1	Cheers 1	
EMOTION_CHEERS_2	Cheers 2	
EMOTION_CHEERUP	Cheer	
EMOTION_CHOOSE_ONE	Choose a target.	
EMOTION_CLAP	Claps	
EMOTION_CLAP_KISS	Kiss	
EMOTION_CONGRATULATION	Approval	
EMOTION_DANCE_1	Dance 1	
EMOTION_DANCE_2	Dance 2	
EMOTION_DANCE_3	Dance 3	
EMOTION_DANCE_4	Dance 4	
EMOTION_DANCE_5	Dance 5	
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Forgiveness	
EMOTION_FRENCH_KISS	French Kiss	
EMOTION_JOY	Joy	
EMOTION_SADd	
EMOTION_SHY	Rejection	
EMOTION_SLAP	Hit	
EMPIRE_A	Shinsoo Kingdom	
EMPIRE_B	Chunjo Kingdom	
EMPIRE_C	Jinno Kingdom
EMPIRE_SELECT_MODE	Select kingdom
EXCHANGE_CANNOT_GIVE	This item cannot be traded.
EXCHANGE_CANT_EDIT_MONEY	You cannot change the sum now.	
EXCHANGE_FAILURE_EQUIP_ITEM	You cannot exchange equipped Items.
EXCHANGE_MONEY	Sum	
EXCHANGE_TITLE	Trade with %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	You still require %d Inventory Expansion(s).
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Your inventory has reached the maximum number of expansions.
EXINVEN_USE_ITEM_QUESTION	Do you want to expand your inventory using %d Inventory Expansions?
FISHING_FAILURE	You lost the Bait.	
FISHING_NOTIFY1	It looks like %s is hooked.
FISHING_NOTIFY2	It looks like %s is on the hook.	
FISHING_SUCCESS1	You captured %s!	
FISHING_SUCCESS2	You have pulled %s out of the water!	
FISHING_UNKNOWN	Something has taken the bait but you can't see what it is.	
FISHING_WRONG_PLACE	You cannot go fishing here.	
FOR_FEMALE	for female	
FOR_MALE	for male	
GAME_CANNOT_MINING	You cannot mine Ore while riding.	
GAME_CANNOT_PICK_ITEM	You cannot collect this Item as you did not win it.	
GAME_GUILDWAR_NOW_JOIN	Do you want to join the guild war?
GAME_INIT_ERROR_CURSOR	The cursor could not be established.	
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 must be installed so that the game can run.\nInstall DirectX 8.1 or higher.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	No graphic device could be found. \nCheck if your VGA card is correctly installed.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Graphic device could not be established. \nCheck if you have a VGA card. \nAlternatively, you can active the hardware accelerator.\n(Set hardware accelerator to max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	The graphics card of the computer does not support the window mode in 32bit Mode. \nChange to 16bit Mode or use Full Screen Mode.
GAME_INIT_ERROR_ITEM_PROTO	No Item data there.\nInstall the game again.	
GAME_INIT_ERROR_MAIN_WINDOW	Mainframe could not be established	
GAME_INIT_ERROR_MOB_PROTO	No Monster Data there.\nInstall the game again.	
GAME_INIT_ERROR_NETWORK	Network devices could not be established.\nCheck your internet connection.	
GAME_PICK_MONEY	You have received %s Yang.
GUILDBANK_CLEARBANK	Warning: The Guild Warehouse must be emptied!
GUILDBANK_DONT_MONEY_OUT	You don't have any Yang in the guild bank!
GUILDBANK_GOLD_IN	Deposit
GUILDBANK_GOLD_OUT	Withdrawal
GUILDBANK_ITEM_IN	Store
GUILDBANK_ITEM_OUT	Remove
GUILDBANK_MONEYIN	Deposit Yang
GUILDBANK_MONEYOUT	Withdraw Yang
GUILDBANK_NOTUSE	You do not have the necessary permissions.
GUILDBANK_NOT_ENOUGH_MONEY	You do not have enough Yang to deposit.
GUILDBANK_OVER_INCOME	Account limit reached.
GUILDBANK_OVER_MONEY	The guild account is full.
GUILDLAND_ABANDON	Abandon Guild Territory
GUILDLAND_ABANDON_VOTE	Abandon guild [%s]'s territory.
GUILDLAND_ABANDON_VOTE_RESULT1	Guild [%s]'s territory was abandoned.
GUILDLAND_ABANDON_VOTE_RESULT2	The guild territory has been abandoned.
GUILDLAND_ABANDON_VOTE_RESULT3	Vote result:
GUILDLAND_ABANDON_VOTE_RESULT4	Vote is invalid.
GUILDLAND_ABANDON_VOTE_TEXT	Do you really want to start this vote?
GUILDLAND_ABANDON_VOTE_TEXT1	Do you agree to abandon the guild territory?
GUILDLAND_ACCEPT	Yes
GUILDLAND_DEAL	Sell Guild Territory
GUILDLAND_DEAL_TEXT1	Guild [%s] wants to sell their
GUILDLAND_DEAL_TEXT2	territory for [%s] Yang.
GUILDLAND_DEAL_TEXT3	Do you accept the offer?
GUILDLAND_DELA_VOTE	The guild [%s] wants to buy our guild territory.
GUILDLAND_DELA_VOTE_RESULT1	Guild territory sale to guild [%s]
GUILDLAND_DELA_VOTE_RESULT2	The vote has finished.
GUILDLAND_DELA_VOTE_RESULT3	Vote result for guild territory sale:
GUILDLAND_DELA_VOTE_RESULT4	Vote is invalid.
GUILDLAND_DELA_VOTE_TEXT	Which guild do you want to sell your territory to?
GUILDLAND_DELA_VOTE_TEXT1	Do you agree to sell the guild territory?
GUILDLAND_DONTHAVE_LAND	You do not own any guild territory.
GUILDLAND_NOT	No
GUILDLAND_VOTE_TEXT	Do you want to give [%s] the territory?
GUILDLIST_APPLICANT	Do you want to apply?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Height is not 128 Pixel	
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Height is not 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Width is not 16 Pixel	
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Width is not 64 Pixel	
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	The game does not support this picture.	
GUILDMARK_UPLOADER_ERROR_PATH	Move the data into the folder metin2/upload.	
GUILDMARK_UPLOADER_ERROR_SELECT	No picture file chosen.	
GUILDVOTE_CHANGEMASTER	Change Guild Leader
GUILDVOTE_CHANGEMASTER_RESULT1	The guild has been successfully transferred.
GUILDVOTE_CHANGEMASTER_RESULT2	The guild [%s] has been transferred to you.
GUILDVOTE_CHANGEMASTER_RESULT3	Transfer guild to member [%s]
GUILDVOTE_CHANGEMASTER_RESULT4	Vote is invalid.
GUILDVOTE_CHANGEMASTER_RESULT5	New guild leader: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Do you want to transfer guild to [%s]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Do you really want to give up leadership of the guild?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Transfer guild to member [%s]
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Do you agree to the guild leadership transfer?
GUILDVOTE_MEMBEROUT	Remove Member
GUILDVOTE_MEMBEROUT_AUTH	You do not have the necessary permissions.
GUILDVOTE_MEMBEROUT_NOMAL	Do you really want to remove this member?
GUILDVOTE_MEMBEROUT_RESULT1	Remove member: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Vote result
GUILDVOTE_MEMBEROUT_RESULT3	You have been removed from the guild [%s].
GUILDVOTE_MEMBEROUT_RESULT4	Vote result
GUILDVOTE_MEMBEROUT_RESULT5	Vote is invalid.
GUILDVOTE_MEMBEROUT_TEXT1	Do you want to start the vote against [%s]?
GUILDVOTE_MEMBEROUT_TEXT2	Vote: Remove member from the guild?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Vote: Should [%s] be removed from the guild?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Against
GUILDVOTE_OK	For
GUILDVOTE_RESULT_AGGRE_MEMBER	For: %d
GUILDVOTE_RESULT_ALL_MEMBER	Participants: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Against: %d
GUILDVOTE_RESULT_TIME	%d days %d hours %d minutes %d seconds
GUILDVOTE_SELECT_ONE	Please select a character.
GUILDWAR_ALL	Battles (B)
GUILDWAR_CTF_TITLE	Capture the Flag
GUILDWAR_DRAW	Draws (D)
GUILDWAR_GAINSCORE_FIFTY	50 points
GUILDWAR_GAINSCORE_HUNDRED	100 points
GUILDWAR_GAINSCORE_THIRTY	30 points
GUILDWAR_GAMETIME_SIXTY	60 minutes
GUILDWAR_GAMETIME_TEN	10 minutes
GUILDWAR_GAMETIME_THIRTY	30 minutes
GUILDWAR_INPUT_OTHERGUILD	Please enter opposing guild.
GUILDWAR_LADDER	Rank Points
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum 5 participants.
GUILDWAR_LOSE	Losses (L)
GUILDWAR_NORMAL_TITLE	Field Battle
GUILDWAR_OVER_MEMBERCOUNT	You have reached the member limit.
GUILDWAR_QUESTION_LINE_1	The Guild %s  declared war on your Guild.	
GUILDWAR_QUESTION_LINE_2	Do you accept? (%s)	
GUILDWAR_RANKING	Rank
GUILDWAR_RECODE_ALL	%d B, %d W, %d L, %d D
GUILDWAR_SELECT_MEMBER_COUNT	Select the number of participants.
GUILDWAR_TYPE_DEFENSE	Shield Battle
GUILDWAR_TYPE_TIGER	Annihilation
GUILDWAR_TYPE_TIME	Time Attack
GUILDWAR_UNKNOWN_TITLE	...	
GUILDWAR_WARP_TITLE	Arena Battle
GUILDWAR_WIN	Wins (W)
GUILDWAR_WIN_FIVE	5 rounds
GUILDWAR_WIN_ONE	1 round
GUILDWAR_WIN_THREE	3 rounds
GUILDWINDOW_BUTTON_BANKGOLDINFO	Guild Warehouse Log
GUILDWINDOW_BUTTON_BASEABANDON	Abandon Guild Territory
GUILDWINDOW_BUTTON_BASEDEAL	Sell Guild Territory
GUILDWINDOW_BUTTON_BASEDEALVOTE	Vote
GUILDWINDOW_BUTTON_BOARD	Guild Messages
GUILDWINDOW_BUTTON_CHANGEMASTER	Change Guild Leader
GUILDWINDOW_BUTTON_DECLARE	Declare War
GUILDWINDOW_BUTTON_GOLDIN	Deposit
GUILDWINDOW_BUTTON_GOLDOUT	Withdrawal
GUILDWINDOW_BUTTON_GRADE	Manage Permissions
GUILDWINDOW_BUTTON_GUILDLIST	Guild List
GUILDWINDOW_BUTTON_HEALGSP	Restore Dragon God Power
GUILDWINDOW_BUTTON_INFO	Guild Information
GUILDWINDOW_BUTTON_LANDINFO	Territory Information
GUILDWINDOW_BUTTON_MARK	Upload Guild Symbol
GUILDWINDOW_BUTTON_MEMBER	Member
GUILDWINDOW_BUTTON_OFFER	Donate EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Remove Member
GUILDWINDOW_BUTTON_SKILL	Guild Skills
GUILDWINDOW_BUTTON_SYMBOL	Upload Guild Flag
GUILDWINDOW_BUTTON_VOTECHECK	Check Vote
GUILDWINDOW_BUY_GUILD_LAND	Purchase Land
GUILDWINDOW_CHANGE_OBJECT	Reconstruction
GUILDWINDOW_CHANGE_SMELTER	Change Smelter
GUILDWINDOW_CREATE_OBJECT	Construction
GUILDWINDOW_DEAL_GUILD_LAND	Sell Land
GUILDWINDOW_GRADE_BANK	May use guild bank and warehouse
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	May remove members from the guild
GUILDWINDOW_GRADE_GRADENAME	Rank Name
GUILDWINDOW_GRADE_GRADENUMBER	Rank Number
GUILDWINDOW_GRADE_GUILDWAR	May select members to participate as combatants
GUILDWINDOW_GRADE_INVITEAUTHORITY	May accept players into the guild
GUILDWINDOW_GRADE_NOTICEAUTHORITY	May compose guild messages
GUILDWINDOW_GRADE_SKILLAUTHORITY	May use guild skills
GUILDWINDOW_INFO_LEVEL10	Increased max. member count
GUILDWINDOW_INFO_LEVEL15	Cost red.: Dragon God Power
GUILDWINDOW_INFO_LEVEL20	Bank: Tax exemption
GUILDWINDOW_INFO_LEVEL5	+5% EXP to guild donations
GUILDWINDOW_LIST_ALL	All Kingdoms
GUILDWINDOW_LIST_ALREADY_REGISTER	[Guild] You have already applied.
GUILDWINDOW_LIST_APPLICANT_LIST	Application List
GUILDWINDOW_LIST_CHRACTER_JOB	Class
GUILDWINDOW_LIST_CHRACTER_LV	Level
GUILDWINDOW_LIST_CHRACTER_NAME	Character Name
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Subclass
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Member
GUILDWINDOW_LIST_GUILD_LIST	Guild List
GUILDWINDOW_LIST_GUILD_LV	Level
GUILDWINDOW_LIST_GUILD_NAME	Guild
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Guild] Please enter a guild name.
GUILDWINDOW_LIST_LADDER	Rank Points
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Guild] This guild is not advertising.
GUILDWINDOW_LIST_PROMOTE_GUILD	Application
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Guild List
GUILDWINDOW_LIST_RANKING	Position
GUILDWINDOW_LIST_RANKING_COUNT	Position
GUILDWINDOW_LIST_REGISTER	Applications
