AFF_LOVE_POINT	Pontos de Amor: %d%%
CANNOT_WHISPER_NOT_LOGON	%s não está online.
CANNOT_WHISPER_SELF_REFUSE	Não podes Segredar a alguém quando bloqueias completamente o Segredar.
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Não podes voltar ao ecrã de login.
CHANNEL_EMPTY_SERVER	Sem servidores
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	O canal está cheio! Por favor escolhe outro.
CHANNEL_NOT_FIND_INFO	Não podes obter esta informação.
CHANNEL_PVP	Duelo livre
CHANNEL_SELECT_CHANNEL	Escolhe o Canal
CHANNEL_SELECT_REGION	Escolhe a região.
CHANNEL_SELECT_SERVER	Escolhe o Servidor
CHANNEL_TEST_SERVER	Servidor de testes
CHANNEL_TEST_SERVER_ADDR	Teste %s:%d
CHAT_ALL	Tudo
CHAT_BLOCK	Bloquear
CHAT_GUILD	Guild
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Esta frase contém palavras inválidas.
CHAT_LOG	Mostrar mensagens antigas [L]
CHAT_LOG_TITLE	Mostrar Log
CHAT_NORMAL	Normal
CHAT_NOTICE	Anúncio
CHAT_PARTY	Grupo
CHAT_SEND_CHAT	Enviar
CHAT_SEND_MEMO	Enviar Segredo [Shift+Enter]
CHAT_SHOUT	Chamar
CHAT_SHOUT_LIMIT	Só podes Chamar de 15 em 15 segundos.
CHAT_WHISPER	Segredo
CREATE_ERROR_GM_NAME	Não podes usar ,GM‘ no nome da tua personagem.
CREATE_ERROR_INSULT_NAME	Este nome é inválido.
CREATE_EXIST_SAME_NAME	Já existe uma personagem com este nome.
CREATE_FAILURE	Não podes criar a personagem.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Insere o nome.
CREATE_PLUS_STAT	Ainda sobram pontos de Atributo.
DAY	Dias
DO_YOU_BUY_ITEM1	Queres comprar %s por %s?
DO_YOU_BUY_ITEM2	Queres comprar %s %s por %s?
DO_YOU_DROP_MONEY	Queres largar %d Yang?
DO_YOU_SELL_ITEM1	Queres vender %s por %s?
DO_YOU_SELL_ITEM2	Queres vender %s %s por %s?
DROP_ITEM_FAILURE_EQUIP_ITEM	Não podes largar Itens equipados.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Não podes largar um Item equipado se tiveres aberto uma Loja Privada.
DROP_MONEY_FAILURE_1000_OVER	Podes largar no máximo 999 Yang de cada vez.
EMOTION_ANGRY	Aborrecido
EMOTION_ATTRACTIVE	Seduzir
EMOTION_BANTER	Troçar
EMOTION_CHEERS_1udações 1
EMOTION_CHEERS_2udações 2
EMOTION_CHEERUP	Festejar
EMOTION_CHOOSE_ONE	Escolhe um alvo
EMOTION_CLAP	Palmas
EMOTION_CLAP_KISS	Beijo
EMOTION_CONGRATULATION	Aprovação
EMOTION_DANCE_1	Dança 1
EMOTION_DANCE_2	Dança 2
EMOTION_DANCE_3	Dança 3
EMOTION_DANCE_4	Dança 4
EMOTION_DANCE_5	Dança 5
EMOTION_FORGIVE	Pedir Perdão
EMOTION_FRENCH_KISS	Beijo Francês
EMOTION_JOY	Felicidade
EMOTION_SAD	Tristeza
EMOTION_SHY	Rejeitar
EMOTION_SLAP	Bater
EMPIRE_A	Reino Shinsoo
EMPIRE_B	Reino Chunjo
EMPIRE_C	Reino Jinno
EXCHANGE_CANNOT_GIVE	Não podes negociar este Item.
EXCHANGE_CANT_EDIT_MONEY	Não podes alterar a quantia agora.
EXCHANGE_FAILURE_EQUIP_ITEM	Não podes trocar Itens equipados.
EXCHANGE_MONEY	Quantia
EXCHANGE_TITLE	Negociar com %s
FISHING_FAILURE	Perdeste o Isco.
FISHING_NOTIFY1	Parece que %s mordeu o anzol.
FISHING_NOTIFY2	Parece que %s foi capturado.
FISHING_SUCCESS1	Capturaste %s!
FISHING_SUCCESS2	Tens %s!
FISHING_UNKNOWN	Não sei o que apanhei.
FISHING_WRONG_PLACE	Não posso pescar aqui.
FOR_FEMALE	Para Mulher
FOR_MALE	Para Homem
GAME_CANNOT_MINING	Não podes Garimpar enquanto estás montado num cavalo.
GAME_CANNOT_PICK_ITEM	Não podes apanhar este Item porque não o ganhaste.
GAME_INIT_ERROR_CURSOR	O cursor não pôde ser definido.
GAME_INIT_ERROR_DIRECTX	O DirectX 8.1 tem de estar instalado para o jogo poder correr.\nInstala o DirectX 8.1 ou mais alto.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	A Placa gráfica não pôde ser encontrada.\nVerifica se o teu VGA card está devidamente instalado.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	A placa gráfica não pôde ser activada. \nVerifica a tua VGA card.\nEm alternativa, podes activar o acelerador de Hardware.\n(Set hardware accelerator to max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	A Placa Gráfica do computador não suporta o modo janela em 32bit.\nAltera para modo 16bit ou utiliza o modo Ecrã Completo.
GAME_INIT_ERROR_ITEM_PROTO	Não há Item Data.\nInstala o jogo de novo.
GAME_INIT_ERROR_MAIN_WINDOW	O mainframe não pôde ser definido
GAME_INIT_ERROR_MOB_PROTO	Não há Monster Data.\nInstala o jogo de novo.
GAME_INIT_ERROR_NETWORK	Não foi possível definir Dispositivos de Rede.\nVerifica a tua ligação de Internet.
GAME_PICK_MONEY	Recebeste %s Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	A altura não é 128 Pixeis
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	A altura não é 12 Pixeis
GUILDMARK_UPLOADER_ERROR_16_WIDTH	A Largura não é 16 Pixeis
GUILDMARK_UPLOADER_ERROR_64_WIDTH	A Largura não é 64 Pixeis
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	O jogo não suporta esta imagem.
GUILDMARK_UPLOADER_ERROR_PATH	Move os dados para a pasta metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nenhum ficheiro de imagem foi escolhido.
GUILDWAR_CTF_TITLE	Bandeira capturada.
GUILDWAR_NORMAL_TITLE	Campal
GUILDWAR_QUESTION_LINE_1	A Guild %s declarou guerra à tua Guild.
GUILDWAR_QUESTION_LINE_2	Aceitas? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena
GUILD_BUILDING_GRADE	Nível
GUILD_BUILDING_NAME	Nome do Edifício
GUILD_CANNOT_HEAL_GSP_ANYMORE	O Poder da Guild já está no máximo.
GUILD_COMMENT	Escrever
GUILD_CREATE_ERROR_INSULT_NAME	O nome da Guild não é válido.
GUILD_DEFAULT_GRADE	Membros da Guild
GUILD_DELETE	Apagar
GUILD_DEPOSIT	Depositar
GUILD_DO_YOU_HEAL_GSP	Queres restaurar com %d Yang %d Dragões Fantasma?
GUILD_DO_YOU_JOIN	, Queres juntar-te à Guild?
GUILD_EMPTY_AREA	Terreno Vazio
GUILD_ENEMY_GUILD_NAME	Nome da Guild inimiga
GUILD_FACILITY	Anexo
GUILD_GEM	Pedra Preciosa
GUILD_HEADQUARTER	Edifício Principal
GUILD_HEAL_GSP	Repor
GUILD_INFO_ENEMY_GUILD_EMPTY	Nenhum
GUILD_MARK_NOT_ENOUGH_LEVEL	A guild necessita de nível 4 para usar icon de guild
GUILD_NAME	Nome da Guild
GUILD_NOT_ENOUGH_MATERIAL	Não tens recursos suficientes para este edifício.
GUILD_NOT_ENOUGH_MONEY	Não tens Yang suficiente para este edifício.
GUILD_NO_NOTICE_PERMISSION	Não tens permissões para fazer um anúncio.
GUILD_OBJECT	Objectos
GUILD_OFFER_EXP	Experiência a investir
GUILD_SHORT_EXP	Experiência insuficiente
GUILD_TILE_BASEINFO	Informação Básica
GUILD_TILE_BOARD	Quadro de Mensagens
GUILD_TILE_GRADE	Administração de Permissões
GUILD_TILE_INFO	Informação da Guild
GUILD_TILE_MEMBER	Membros da Guild
GUILD_TILE_SKILL	Habilidades de Guild
GUILD_WAR_LIMIT_30MIN	Duração: 30 Minutos
GUILD_WAR_REWARD_POTION	Recompensa: O vencedor recebe uma Poção.
GUILD_WAR_USE_BATTLE_MAP	Usa a Arena de Guerra
GUILD_WAR_USE_NORMAL_MAP	Usa o Mapa Normal
GUILD_WAR_WIN_CHECK_SCORE	A Guild com o resultado mais alto ganha a Guerra.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Captura a Bandeira do teu inimigo
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	e leva-a para a tua base.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Derrota 100 inimigos para vencer.
GUILD_WITHDRAW	Retirar
GUILD_YOU_DO_NOT_JOIN	Não és membro de uma Guild.
HORSE_HEALTH0	Morto
HORSE_HEALTH1	Fome
HORSE_HEALTH2	Esfomeado
HORSE_HEALTH3	Cheio
HORSE_LEVEL1	Cavalo Normal
HORSE_LEVEL2	Cavalo Armado
HORSE_LEVEL3	Cavalo Militar
HOUR	Horas
HOW_MANY_ITEM_DO_YOU_DROP1	Queres largar %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Queres largar %s %d?
INPUT_MATRIX_CARD_NUMBER	Introduz o número do Cartão Matriz.
INPUT_MATRIX_CARD_TITLE	Cartão Matriz
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introduz aqui o código de apagar personagem da tua conta.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Apagar Personagem
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Pergaminho do Retorno não pode ser combinado.
INVENTORY_REALLY_USE_ITEM	Queres usar este Item?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ninja Amador
JOB_ASSASSIN1	Poder dos Ninjas
JOB_ASSASSIN2	Mortos-Vivos
JOB_SHAMAN	Xamã
JOB_SHAMAN0	Xamã Amador
JOB_SHAMAN1	Poder do Dragão
JOB_SHAMAN2	Poder da Luz
JOB_SURA	Sura
JOB_SURA0	Sura Amador
JOB_SURA1	Poder da Fada Morgana
JOB_SURA2	Poder da Magia Negra
JOB_WARRIOR	Guerreiro
JOB_WARRIOR0	Guerreiro Amador
JOB_WARRIOR1	Poder do Arahan
JOB_WARRIOR2	Poder do Partidário
LEFT_TIME	Tempo Restante
LOGIN_CONNECT_FAILURE	Ocorreu um erro enquanto te ligavas ao Servidor.
LOGIN_CONNECT_SUCCESS	Estás ligado ao Servidor.
LOGIN_CONNETING	Vais ser ligado ao Servidor.
LOGIN_FAILURE_ALREAY	A tua conta já está ligada.
LOGIN_FAILURE_BE_SAME_KEY	Problema de registo.
LOGIN_FAILURE_BLOCK_ID	A tua conta está bloqueada.
LOGIN_FAILURE_BLOCK_LOGIN	Por favor escolhe um dos outros Servidores!
LOGIN_FAILURE_NOBILL	A tua conta não tinha tempo de jogo.
LOGIN_FAILURE_NOT_AVAIL	A tua conta não pode ser usada.
LOGIN_FAILURE_NOT_EXIST_ID	O nome da conta ou a palavra-passe está/ão incorrecta(s).
LOGIN_FAILURE_REPAIR_ID	Foram restaurados Itens a esta conta.
LOGIN_FAILURE_SHUTDOWN	O Servidor ainda não está aberto.
LOGIN_FAILURE_TOO_MANY_USER	Não te podes ligar ao Servidor porque estão muitos jogadores ligados.
LOGIN_FAILURE_UNKNOWN	Não te foi possível registar por razões desconhecidas.
LOGIN_FAILURE_WEB_BLOCK	Foste bloqueado no site, por favor verifica os teus E-mails.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Inseriste um número errado.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Inseriste um número errado três vezes. /n A tua ligação vai ser anulada.
LOGIN_FAILURE_WRONG_PASSWORD	O nome da conta ou a palavra-passe está/ão incorrecta(s).
LOGIN_INPUT_ID	Insere o ID.
LOGIN_INPUT_PASSWORD	Insere a palavra-passe.
LOGIN_PROCESSING	Processo de Login em progresso.
MALL_CANNOT_INSERT	Não podes colocar o Item.
MALL_PASSWORD_TITLE	Palavra-passe
MAP_A1	Área Yongan
MAP_A2	Vale de Seungryong
MAP_A3	Área Yayang
MAP_AG	Jungrang
MAP_B1	Área Joan
MAP_B2	Vale Imji
MAP_B3	Área Bokjung
MAP_BG	Waryong
MAP_C1	Área Pyungmoo
MAP_C2	Vale Bangsan
MAP_C3	Área Bakra
MAP_CG	Imha
MAP_DESERT	Deserto de Yongbi
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Jotunheim
MAP_SKELTOWER	Torre Gumsan
MAP_SNOW	Montanha Sohan
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Templo Hwang
MAP_TREE	Lungsam
MAP_TRENT02	Bosque Rubro
MAP_WL	Planície Seca
MESSENGER_ADD_FRIEND	Adicionar Amigo
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s adicionou-te como amigo.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Aceitar?
MESSENGER_DO_YOU_DELETE	Apagar?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Queres apagar o número de telemóvel?
MESSENGER_DO_YOU_MOVE	Queres continuar?
MESSENGER_EMPTY_LIST	Vazio
MESSENGER_FAMILY	Família
MESSENGER_FRIEND	Amigos
MESSENGER_GUILD	Guild
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Insere o número de confirmação que foi enviado para o teu telemóvel.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Insere o número de confirmação
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Insere o número de telemóvel para enviar a mensagem de texto.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Queres inserir o número agora?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Insere o número de telemóvel.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Enviar mensagem.
MINIMAP	Mini-Mapa
MINIMAP_CANNOT_SEE	O Mini-Mapa não pode ser visto.
MINIMAP_CAN_NOT_SHOW_AREAMAP	O Mini-Mapa não pode ser mostrado.
MINIMAP_DEC_SCALE	Minimizar
MINIMAP_INC_SCALE	Maximizar
MINIMAP_OBSERVER_COUNT	%d observadores
MINIMAP_SHOW_AREAMAP	Mapa Grande
MINUTE	Minutos
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Dez Mil
MONETARY_UNIT2	Cem Biliões
MONEY_INPUT_DIALOG_SELLPRICE	Preço de Venda:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Não podes mover um Item quando tens uma Loja Privada aberta.
MUSIC_EMPTY_MUSIC_LIST	Sem música de fundo.
MUSIC_METIN2_DEFAULT_THEMA	Música Standard Metin2
MUSIC_NOT_SELECT_MUSIC	Sem pasta de música escolhida.
NEEFD_REST	Primeiro tens de descansar.
NOT_YET_SUPPORT	Ainda não é suportado
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Não podes activar o Modo Guild quando não pertences a uma Guild.
OPTION_PVPMODE_NOT_SUPPORT	Não podes escolher esta configuração em Modo PvP.
OPTION_PVPMODE_PROTECT	Tens de ter pelo menos nível %d para poderes usar o Modo PvP.
PARTY_BONUS_ATTACKER	Valor de Ataque: +%d
PARTY_BONUS_BERSERKER	Rapidez de Ataque: +%d
PARTY_BONUS_BUFFER	Duração da Habilidade: +%d
PARTY_BONUS_DEFENDER	Defesa: +%d
PARTY_BONUS_EXP	EXP Bónus: %d%%
PARTY_BONUS_SKILL_MASTER	Máx. MN: +%d
PARTY_BONUS_TANKER	Máx. VD: +%d
PARTY_BREAK_UP	Apagar Grupo
PARTY_DO_YOU_ACCEPT	 gostaria de se juntar ao Grupo.
PARTY_DO_YOU_JOIN	, Queres aceitar o convite?
PARTY_EXP_DISTRIBUTION_MODE	Distribuição de EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Distribuição de Níveis
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Os Níveis mais altos recebem mais EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Distribuição Uniforme
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Todos os membros do Grupo recebem a mesma EXP.
PARTY_HEAL_ALL_MEMBER	Restaurar tudo.
PARTY_INCREASE_AREA_150	O alcance do grupo atingiu o factor 1,5.
PARTY_INCREASE_AREA_200	O alcance do grupo atingiu o factor 2.
PARTY_LEAVE	Abandonar o Grupo.
PARTY_LONGTIME_BONUS_EXP	EXP Bónus por longo jogo em Grupo: +%d%%
PARTY_MEMBER_OFFLINE	[Desligado]
PARTY_RECALL_MEMBER	Chamar membro do Grupo.
PARTY_REGEN_BONUS	Bónus de VD + regeneração MN: +%d%%
PARTY_REQUEST_DENIED	Descartaste o convite para entrar no Grupo...
PARTY_SET_ATTACKER	Constituir como Atacante.
PARTY_SET_BERSERKER	Constituir como Agressivo.
PARTY_SET_BUFFER	Constituir como Bloqueador.
PARTY_SET_DEFENDER	Constituir como Defensor.
PARTY_SET_NORMAL	Retirar definições.
PARTY_SET_SKILL_MASTER	Constituir como Mestre de Habilidades.
PARTY_SET_TANKER	Constituir como Lutador de Curta Distância.
PARTY_SKILL_ATTACKER	Valor Base de Ataque +%,0f
PARTY_SKILL_BERSERKER	Rapidez de Ataque +%,0f
PARTY_SKILL_BUFFER	Duração da Habilidade +%,0f
PARTY_SKILL_DEFENDER	Aumenta a Defesa +%,0f
PARTY_SKILL_HP_REGEN	Regeneração de VD +%,0f%%
PARTY_SKILL_PARTY_AREA	Alcance do Grupo +%d%%
PARTY_SKILL_SKILL_MASTER	Bónus MN +%,0f
PARTY_SKILL_SP_REGEN	Regeneração de MN +%,0f%%
PARTY_SKILL_TANKER	Bónus VD +%,0f
PARTY_SKILL_WARP	É possível chamar membros do Grupo.
PASSWORD_TITLE	Palavra-passe do Armazém
PICK_ITEM_TITLE	Quantidade
PICK_MONEY_TITLE	Quantia
PRIVATE_SHOP_CANNOT_SELL_ITEM	Não podes vender este Item numa Loja Privada.
PRIVATE_SHOP_CLOSE_QUESTION	Queres fechar a Loja Privada?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nome da Loja Privada.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Preço
PVP_LEVEL0	Cavaleiro
PVP_LEVEL1	Nobre
PVP_LEVEL2	Bom
PVP_LEVEL3	Amigável
PVP_LEVEL4	Neutro
PVP_LEVEL5	Agressivo
PVP_LEVEL6	Fraudulento
PVP_LEVEL7	Malicioso
PVP_LEVEL8	Cruel
PVP_MODE_GUILD	PvP Modo Guild activado.
PVP_MODE_KILL	PvP Modo Livre activado.
PVP_MODE_NORMAL	PvP Modo Paz activado.
PVP_MODE_PROTECT	PvP Modo Protecção activado.
PVP_MODE_REVENGE	PvP Modo Agressivo activado.
PVP_OPTION_KILL	Livre
PVP_OPTION_NORMAL	Paz
PVP_OPTION_PROTECT	Protecção
PVP_OPTION_REVENGE	Hostil
QUEST_APPEND	Nova Aventura adquirida.
QUEST_MIN	Min.
QUEST_SEC	Seg.
QUEST_TIMEOVER	Acabou o Tempo
QUEST_UNLIMITED_TIME	Sem Tempo Limite
QUEST_ZEROSEC	0 Seg.
QUICKSLOT_REGISTER_DISABLE_ITEM	Este Item não pode ser adicionado ao campo de Acesso Rápido.
RECEIVE_MESSAGE	%s enviou-te uma mensagem.
REFINE_COST	Custos do melhoramento: %d Yang
REFINE_DESTROY_WARNING	Este Item pode ser destruído enquanto é melhorado.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Isto vai aumentar a probabilidade de ser melhorado,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	mas se falhares o item pode ser destruído. Queres continuar?
REFINE_DOWN_GRADE_WARNING	O Item pode ser piorado desta forma.
REFINE_DO_YOU_SEPARATE_METIN	Queres mesmo retirar a Pedra Espírita?
REFINE_FAILURE	Melhoramento falhado!
REFINE_FAILURE_CAN_NOT_ATTACH	Não podes incluir %s nesse Item.
REFINE_FAILURE_EQUIP_ITEM	Não podes melhorar o Item equipado.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	As Pedras Espíritas não podem ser retiradas.
REFINE_FAILURE_NEED_BETTER_SCROLL	Precisas de um tipo de Pergaminho diferente.
REFINE_FAILURE_NO_GOLD_SOCKET	Não existe Socket para se adicionar %s.
REFINE_FAILURE_NO_MORE_SOCKET	Não podes abrir mais Sockets.
REFINE_FAILURE_NO_SOCKET0	Não existe Socket para adicionar %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Não podes criar nenhum Socket neste item.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Este Item não pode ser melhorado.
REFINE_SUCCESS	O melhoramento do Item foi bem sucedido!
REFINE_SUCCESS_PROBALITY	Probabilidade de Melhorar %d%%
REFINE_WARNING2	Queres continuar?
SAFEBOX_ERROR	Inseriste a palavra-passe errada.
SAFEBOX_SELL_DISABLE_SAFEITEM	Não podes vender nenhum dos Itens guardados.
SAFEBOX_WRONG_PASSWORD	As palavras-passe têm de ser idênticas.
SCREENSHOT_SAVE1	está gravado em
SCREENSHOT_SAVE2	Pasta Screenshot
SCREENSHOT_SAVE_FAILURE	Erro a gravar o Screenshot.
SECOND	Seg
SELECT_CAN_NOT_DELETE	Não podes apagar a personagem.
SELECT_CHANGED_NAME	Alteraste o nome da personagem.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	O nome da personagem já existe.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Tenta de novo.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Que
SELECT_CHANGE_NAME_TITLE	Altera o nome da personagem.
SELECT_DELEING	A personagem irá ser apagada.
SELECT_DELETED	Apagada com sucesso.
SELECT_DO_YOU_DELETE_REALLY	Queres continuar?
SELECT_EMPTY_SLOT	Este é um campo vazio.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Insere um novo nome de personagem.
SELECT_NOT_JOIN_GUILD	Nenhuma Guild
SHOP_BUY_INFO	Podes comprar um Item numa loja, escolhendo-o na janela.
SHOP_CANNOT_SELL_EQUIPMENT	Não podes vender o Item equipado.
SHOP_CANNOT_SELL_ITEM	Este Item não pode ser vendido.
SHOP_ERROR_UNKNOWN	Erro de Loja Desconhecido: %s
SHOP_INVALID_POS	Este Item não pode ser usado aqui.
SHOP_INVENTORY_FULL	O teu Inventário está cheio.
SHOP_NOT_ENOUGH_MONEY	Yang insuficiente
SHOP_SELL_INFO	Escolhe o Item a ser vendido, na janela do inventário.
SHOP_SOLDOUT	Esgotado
SHOT_ERROR_UNKNOWN	Erro de Ataque de Longa Distância Desconhecido: %s
SKILL_BOHO	Reflectir - 1
SKILL_BUDONG	já não é usado - 2
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Precisas de EXP para aprenderes esta Habilidade.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Precisas de um Livro para aprenderes esta Habilidade.
SKILL_CHEONGEUN	Corpo Forte - 3
SKILL_CRITICAL	Golpe Crítico - 4
SKILL_ENCHANT_POISON	Envenenar - 5
SKILL_EUNHYEONG	Camuflagem - 6
SKILL_FAINT	Atordoado - 7
SKILL_FIND_TRAP	Procurar Armadilha - 8
SKILL_FIRE	Fogo Eterno - 9
SKILL_FISHMIND	A Esfera de Peixe é utilizada
SKILL_GAMJI	Captura - 10
SKILL_GEOMGYEONG	Aura da Espada - 11
SKILL_GEONGON	SKILL_GEONGON já não é usado - 12
SKILL_GICHEON	Ajuda do Dragão - 13
SKILL_GIGONG	Rotação Chi - 14
SKILL_GONGPO	Receio - 15
SKILL_GRADE_NAME_GRAND_MASTER	Habilidade %s a Grande Mestre
SKILL_GRADE_NAME_MASTER	Habilidade %s a Mestre
SKILL_GRADE_NAME_PERFECT_MASTER	Habilidade %s a Mestre Perfeito
SKILL_GROUP_ASSASSIN_1	Furtivo
SKILL_GROUP_ASSASSIN_2	Arco
SKILL_GROUP_HORSE	Cavalo
SKILL_GROUP_SHAMAN_1	Dragão
SKILL_GROUP_SHAMAN_2	Energia
SKILL_GROUP_SURA_1	Armas
SKILL_GROUP_SURA_2	Magia
SKILL_GROUP_WARRIOR_1	Corpo
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Lâmina Encantada - 16
SKILL_GYEONGGONG	Flutuar - 17
SKILL_HEUKSIN	Protecção Sombria - 18
SKILL_HOSIN	Bênção - 19
SKILL_HWAYEOM	SKILL_HWAYEOM já não é usado - 20
SKILL_HYEOLMA	SKILL_HYEOLMA já não é usado - 21
SKILL_INC_ATKSPD	Aumenta a Velocidade de Ataque
SKILL_INC_MOVSPD	Aumenta a Velocidade de Movimento
SKILL_INMA	SKILL_INMA já não é usado - 24
SKILL_JEOJU	Maldição - 25
SKILL_JEONGEOP	Curar - 26
SKILL_JEONGWI	Raiva - 27
SKILL_JEONSINBANGEO	Defesa Plena - 28
SKILL_JEONSINGONGGYEOK	Ataque Pleno - 29
SKILL_JEUNGCHE	SKILL_JEUNGCHE já não é usado - 30
SKILL_JEUNGHON	SKILL_JEUNGHON já não é usado - 31
SKILL_JEUNGRYEOK	Ataque + - 32
SKILL_JEUNGSOK	Velocidade + - 33
SKILL_JIGAM	SKILL_JIGAM já não é usado - 34
SKILL_JIPJUNG	SKILL_JIPJUNG já não é usado - 35
SKILL_JUMAGAP	Armadura Encantada - 36
