VNUM	LOCALE_NAME
1040	Fantasma Imortal
1041	Besta Demoníaca
1061	Soldado Demónio Bruto
1062	Arqueiro Demónio Bruto
1063	Demónio Lanceiro Bruto
1064	Demónio Xamã Bruto
1065	Fantasma de Rancor Bruto
1066	Fantasma do Caos Bruto
1067	Líder Demónio Bruto
1068	Fantasma Mestre Espada
1069	Caveira Voadora Bruta
1070	Fantasma Imortal
1071	Besta Demoníaca
1091	Rei Demónio
1092	Rei Demónio Elite
1093	Fantasma da Morte
1094	Rei Demónio Vil Elite
1095	Morte Azul
1096	????
1101	Gelo Encantado
1102	Orca do Gelo
1103	Insecto do Gelo
1104	Leão do Gelo
1105	Homem do Gelo
1106	Yeti
1107	Golem do Gelo
1131	Gelo Encantado Negro
1132	Orca de Gelo Negra
1133	Insecto de Gelo Negro
1134	Leão de Gelo Negro
1135	Homem de Gelo Negro
1136	Yeti Negro
1137	Golem de Gelo Negro
1151	Diabo de Gelo
1152	Orca Corno de Gelo
1153	Insecto do Gelo
1154	Seol-Gu
1155	Homem de Gelo
1156	Gigante do Gelo
1157	Golem do Gelo
1171	Gelo Encantado Mau
1172	Orca de Gelo Má
1173	Insecto de Gelo Mau
1174	Leão de Gelo Mau
1175	Homem de Gelo Mau
1176	Yeti Mau
1177	Golem de Gelo Mau
1191	Bruxa de Gelo
1192	Bruxa de Gelo Suprema
1301	Soldado Rã de Árvore
1302	Líder Rã de Árvore
1303	Bogeyman
1304	Tigre Fantasma
1305	General Rã-Touro
1306	Tigre Fantasma Elite
1307	Tigre Fantasma Elite
1308	Tigre Fantasma Elite
1309	Tigre Fantasma Elite
1310	Tigre Fantasma Elite
1331	Soldado Rã-Árvore Grande
1332	Líder Rã-Árvore Grande
1333	Grande Bogeyman
1334	Tigre Fantasma Grande
1335	General Rã-Touro Má
1401	Destruidor
1402	Guerreiro de Machado
1403	Guerreiro Milenar
1501	Golem de Pedra
1502	Golem de Pedra
1503	Golem de Pedra Gigante
1601	Guerreiro Ogre
1602	Ogre Carniceiro
1603	Ogre Furioso
1901	Nove Caudas
1902	Nove Caudas Elite
1903	Nove Caudas Elite
1904	Nove Caudas Elite
1905	Nove Caudas Elite
1906	Nove Caudas Elite
2001	Bebé Aranha
2002	Aranha
2003	Aranha Vermelha
2004	Aranha Rubi
2005	Aranha Soldado
2031	Bebé Aranha Venenosa
2032	Aranha Mortal
2033	Aranha Vermelha Venenosa
2034	Aranha Rubi Venenosa
2035	Aranha Coronel
2036	Aranha Coronel Elite
2051	Bebé Aranha Venenosa Má
2052	Aranha Mortal Má
2053	Aranha Vermelha Má
2054	Aranha Rubi Venenosa Má
2055	Aranha Coronel Má
2061	Aranha Pequena
2062	Aranha Assassina
2063	Aranha Vermelha Mortal
2064	Aranha Rubi Mortal
2065	Aranha General
2071	Bebé Aranha Besta Veneno
2072	Aranha Besta Mortal
2073	Aranha Besta Vermelha
2074	Aranha Rubi Besta Veneno
2075	Aranha Besta Coronel
2076	Aranha Besta Forte
2091	Rainha Aranha
2092	Aranha Baronesa
2093	Rainha Aranha Negra
2094	Aranha Barão
2095	Ovo de Aranha
2101	Raposa do Deserto
2102	Olho Voador do Deserto
2103	Rei Escorpião
2104	Homem Escorpião Jovem
2105	Arqueiro Escorpião
2106	Serpente Guerreiro
2107	Serpente Arqueiro
2108	Bandido do Deserto
2131	Homem Escorpião Veneno
2132	Arqueiro Escorpião Mau
2133	Serpente Guerreiro Má
2134	Serpente Arqueiro Má
2135	Bandido do Deserto Mau
2151	Raposa do Deserto Forte
2152	Dervixe Forte
2153	Rei Escorpião Forte
2154	Homem Escorpião Forte
2155	Arqueiro Escorpião Forte
2156	Serpente Guerreiro Forte
2157	Serpente Arqueiro Forte
2158	Bandido do Deserto Forte
2191	Tartaruga Gigante
2192	Tartaruga Gigante Negra
2201	Tigre de Fogo Mau
2202	Fantasma de Chamas
2203	Tigre de Fogo
2204	Chama
2205	Guerreiro Chama
2206	Rei Chama
2207	Rei Chama Obscuro
2231	Tigre de Fogo Mau Forte
2232	Fantasma de Chamas Forte
2233	Tigre de Fogo Forte
2234	Fantasma de Chamas Forte
2235	Guerreiro Chama Forte
2291	Dragão Vermelho
2301	Árvore Fantasma
2302	Tronco Fantasma
2303	Dríade
2304	Salgueiro Fantasma
2305	Árvore do Mal
2306	Árvore Fantasma Gigante
2307	Lorde Árvore Fantasma
2311	Árvore Fantasma Rubra
2312	Tronco Fantasma Rubro
2313	Dríade Rubra
2314	Salgueiro Fantasma Rubro
2315	Árvore do Mal Vermelha
2401	Lutador Setaou
2402	Caçador Setaou
2403	Mística Setaou
2404	Líder Setaou
2411	Soldado Setaou
2412	Arqueiro Setaou
2413	Magistrada Setaou
2414	Comandante Setaou
2415	Comandante Setaou
2431	????
2432	????
2433	ÃµÀÇ¹ý»ç
2434	????
2451	?????
2452	?????
2453	?????
2454	?????
2491	Capitão Yonghan
2492	General Yonghan
2493	Beran-Setaou
2494	Capitão Huashin
2495	General Huashin
2501	Cadáver Infernal
2502	Cão Infernal
2503	Zombie
2504	Oficial Infernal
2505	Guarda Infernal
2506	Atirador Infernal
2507	Garra Infernal
2508	Guerreiro Infernal
2509	Arqueiro Infernal
2510	Lanceiro Infernal
2511	Padre Infernal
2512	Major Infernal
2513	Carniceiro Infernal
2514	General Infernal
2541	Guerreiro Infernal Mau
2542	Arqueiro Infernal Mau
2543	Lanceiro Infernal Mau
2544	Padre Infernal Mau
2545	Major Infernal Mau
2546	Carniceiro Infernal Mau
2547	General Infernal Mau
2591	Tartaros
2592	Bastardo Infernal
2593	Bastardo Infernal
2594	Bastardo Infernal
2595	Erebos
2596	Lacaio de Azrael
2597	Charon
2598	Azrael
3001	Guerreiro Gnoll
3002	Arqueiro Gnoll
3003	Defensor Gnoll
3004	Mago Gnoll
3005	General Gnoll
3090	Lorde Gnoll
3091	Guarda Supremo Gnoll
3101	Rufia de 1 Olho
3102	Soldado Ciclope
3103	Mago Ciclope
3104	Executor Ciclope
3105	General Outis
3190	Arges
3191	Polyphemos
3201	Guerreiro Mantícora
3202	Soldado Mantícora
3203	Mago Mantícora
3204	Executor Mantícora
3205	General Cor
3290	Rakshasa
3291	Martyaxwar
3301	Guerreiro Lémure
3302	Soldado Lémure
3303	Mago Lémure
3304	Executor Lémure
3305	General Lémure
3390	Príncipe Lémure
3391	Guarda-Costas Lémure
3401	Moreia Tritão
3402	Soldado Tubarão
3403	Mago Tritão
3404	Caçador Tritão
3405	Aterrorizador Tritão
3490	General Kappa
3491	Tritão
3501	Ladrão Rubro Amazona
3502	Ladrão Rubro Assassino
3503	Ladrão Rubro Mago
3504	Ladrão Rubro Executor
3505	General Negro
3551	Ladrão Brutal Amazona
3552	Ladrão Brutal Assassino
3553	Ladrão Brutal Mago
3554	Ladrão Brutal Executor
3555	General Branco
3590	Cara de Ossos
3591	Chefe Rubro
3595	Cara de Ossos Mau
3596	Chefe Rubro Brutal
3601	Guerreiro Caranguejo
3602	Artilheiro Escorpião
3603	Soldado Camarão
3604	Eremita Diabólico
3605	Caranguejo de Armadura
3690	General Lagosta
3691	Rei Caranguejo
3701	Mordedor Gigante
3702	Matador Gigante
3703	Mago Gigante
3704	Doigante
3705	Capitão Ganchos
3790	Gárgula
3791	Rei Wubba
3801	Hangorc
3802	Ogre Archie
3803	Ogre Briguento
3804	Ogre Mago
3805	General Ogg
3890	Capitão Shruk
3891	O Grande Ogre
3901	Árvore-Homem
3902	Eoten
3903	Skouman
3904	Capitão Ganchos
3905	Mu-Shu
3906	Yah-Ki
3907	Moghu
3908	Carnifex
3909	General Albus
3910	Skeletos
3911	Aku-Boku
3912	Arboretum
3913	Sicómoro
5001	Pirata Tanaka
5002	Hae-Tae
5003	Macaco
5004	Pirata Tanaka
5101	Soldado Macaco Fraco
5102	Lançador Macaco Fraco
5103	Lutador Macaco Fraco
5104	General Macaco Fraco
5111	Soldado Macaco
5112	Lançador Macaco
5113	Lutador Macaco
5114	General Macaco
5115	Macaco Pedra
5116	Líder Macaco
5121	Soldado Macaco Forte
5122	Lançador Macaco Forte
5123	Lutador Macaco Forte
5124	General Macaco Forte
5125	Macaco Pedra Forte
5126	Macaco Dourado Forte
5127	Líder Macaco Forte
5131	Pequeno Macaco General
5132	Pequeno Macaco Lançador
5133	Pequeno Macaco Lutador
5134	Pequeno Macaco General
5141	Macaco Soldado Esperto
5142	Macaco Lançador Esperto
5143	Macaco Lutador Esperto
5144	Macaco General Esperto
5145	Macaco Pedra Esperto
5146	Líder Macaco Esperto
5151	Macaco Soldado Mau Forte
5152	Macaco Lançador Mau For.
5153	Macaco Lutador Mau Forte
5154	Macaco General Mau Forte
5155	Macaco Pedra Mau Forte
5156	Macaco Dourado Mau Forte
5157	Macaco Líder Mau Forte
5161	Macaco Rocha
5162	Macaco Andante
5163	Lorde Macaco
5201	Cão Selvagem
5202	Javali Selvagem
5203	Javali Selvagem Rubro
5204	Urso
5205	Urso Castanho
5206	Urso Negro
5207	Urso Castanho Feroz
5208	Tigre
5209	Tigre Branco
6001	Fantasma de Brasas
6002	Tigre de Brasas
6003	Chama de Brasas
6004	Guerreiro de Brasas
6005	Rei de Brasas
6006	Golem de Brasas
6007	Barba de Brasas
6008	General de Brasas
6009	Chefe de Brasas
6051	Incendiário
6091	Razador
6101	Cristal da Geada
6102	Insecto da Geada
6103	Homem da Geada
6104	Yeti da Geada
6105	Golem da Geada
6106	Troll da Geada
6107	Barba da Geada
6108	General da Geada
6109	Lorde da Geada
6151	Szel
6191	Nemere
6192	Jotun Thrym
6301	Guerreiro Ochao
6302	Soldado Ochao
6303	Mago Ochao
6304	Executor Ochao
6305	General Ochao
6306	Guerreiro Ochao Rijo
6307	Soldado Ochao Rijo
6308	Mago Ochao Rijo
6309	Executor Ochao Rijo
6310	General Ochao Rijo
6391	Lorde Ochao
6392	Guarda-Costas Ochao
6393	Lorde Ochao Rijo
6394	Guarda-Costas Ochao Rijo
6401	Guerreiro En-Tai
6402	Soldado En-Tai
6403	Druida En-Tai
6404	Curandeiro En-Tai
6405	Guardião En-Tai
6406	Destruidor En-Tai
6407	Soberano En-Tai
6408	Bagjanamu
6409	Curandeiro Ochao
6410	Guerreiro En-Tai Rijo
6411	Soldado En-Tai Rijo
6412	Druida En-Tai Rijo
6413	Curandeiro En-Tai Rijo
6414	Destruidor En-Tai Rijo
6415	Beran-Setaou de Evento
6416	Nemere de Evento
6417	Razador de Evento
6418	Jotun Thrym de Evento
6419	Dragão Vermelho - Evento
7001	Macaco Soldado
7002	Macaco Cavaleiro
7003	Macaco Soldado Gimu
7004	Comandante Macaco
7005	Macaco Pedra
7006	Macaco Dourado
7007	General Macaco
7008	Trabalhador Tu-Gui
7009	Examinador Tu-Gui
7010	Comandante Branco Tu-Gui
7012	Bi-Ma-Gui-An
7013	Rei Escorpião
7014	Homem Escorpião Esperto
7015	Arqueiro Escorpião
7016	Serpente Guerreiro
7017	Serpente Arqueiro
7018	Bandido do Deserto
7019	Soldado Tu-Ji
7020	Hwa-ryung
7021	Vagabundo Tu-Ji
7022	Cham-Ma
7023	Teawha-Mu
7024	Juk-gui
7025	Dung-Juk
7026	Juk-Mok
7027	Hwaryu Juk
7028	Juk-Guimok Preto
7029	Diabo de Gelo
7030	Orca Corno de Gelo
7031	Insecto do Gelo
7032	Seol-Gu
7033	Homem de Gelo
7034	Gigante do Gelo
7035	Golem do Gelo
7036	Diabo de Gelo
7037	Orca Corno de Gelo
7038	Insecto do Gelo
7039	Seol-Gu
7040	Homem de Gelo
7041	Gigante do Gelo
7042	Golem do Gelo
7043	Diabo de Gelo
7044	Orca Corno de Gelo
7045	Insecto do Gelo
7046	Seol-Gu
7047	Homem de Gelo
7048	Gigante do Gelo
7049	Golem do Gelo
7050	Olho Voador do Deserto
7051	Rei Escorpião
7052	Homem Escorpião Jovem
7053	Arqueiro Escorpião
7054	Serpente Guerreiro
7055	Serpente Arqueiro
7056	Bandido do Deserto
7057	Olho Voador do Deserto
7058	Rei Escorpião
7059	Homem Escorpião Jovem
7060	Arqueiro Escorpião
7061	Serpente Guerreiro
7062	Serpente Arqueiro
7063	Bandido do Deserto
7064	Olho Voador do Deserto
7065	Rei Escorpião
7066	Homem Escorpião Jovem
7067	Arqueiro Escorpião
7068	Serpente Guerreiro
7069	Serpente Arqueiro
7070	Bandido do Deserto
7071	Tigre de Fogo Mau
7072	Fantasma de Chamas
7073	Tigre de Fogo
7074	Chama
7075	Guerreiro Chama
7076	Tigre de Fogo Mau
7077	Fantasma de Chamas
7078	Tigre de Fogo
7079	Chama
7080	Guerreiro Chama
7081	Tigre de Fogo Mau
7082	Fantasma de Chamas
7083	Tigre de Fogo
7084	Chama
7085	Guerreiro Chama
7086	Tronco Fantasma
7087	Dríade
7088	Salgueiro Fantasma
7089	Árvore do Mal
7090	Tronco Fantasma
7091	Dríade
7092	Salgueiro Fantasma
7093	Árvore do Mal
7094	Tronco Fantasma
7095	Dríade
7096	Salgueiro Fantasma
8001	Metin da Dor
8002	Metin do Combate
8003	Metin da Batalha
8004	Metin da Ganância
8005	Metin Negra
8006	Metin da Escuridão
8007	Metin do Ciúme
8008	Metin da Alma
8009	Metin da Sombra
8010	Metin da Dureza
8011	Metin do Diabo
8012	Metin da Queda
8013	Metin da Morte
8014	Metin do Assassino
8015	Metin da Dureza
8016	Metin do Diabo
8017	Metin da Queda
8018	Metin da Morte
8019	Metin do Assassino
8020	Rocha Shinsoo
8021	Rocha Jinno
8022	Rocha Chunjo
8023	Rocha Imperador
8024	Metin Pung-Ma
8025	Metin Ma-An
8026	Metin Tu-Young
8027	Metin Jeon-Un
8031	Metin da Montanha
8032	Metin da Vingança
8033	Metin da Solidão
8034	Metin da Arrogância
8035	Metin da Salvação
8036	Metin da Traição
8037	Metin do Ressentimento
8038	Metin da Desforra
8039	Metin do Orgulho
8040	Metin da Malevolência
8041	Metin da Páscoa
8042	Metin da Páscoa
8043	Metin da Páscoa
8044	Metin da Páscoa
8045	Metin da Páscoa
8046	Metin da Páscoa
8047	Metin da Páscoa
8048	Metin da Páscoa
8049	Metin da Páscoa
8050	Metin da Páscoa
8051	Metin da Melancolia
8052	Metin da Brasa
8053	Metin da Vaidade
8054	Metin da Fúria
8055	Metin da Calamidade
8056	Metin da Maldade
8057	Metin Fogo do Purgatório
8058	Metin do Frio
8059	Metin dos Seres-Árvore
8060	Metin Abóbora
8061	Metin das Florestas
8101	Metin da Dor
8102	Metin do Combate
8103	Metin da Batalha
8104	Metin da Ganância
8105	Metin Negra
8106	Metin da Escuridão
8107	Metin do Ciúme
8108	Metin da Alma
8109	Metin da Sombra
8110	Metin da Dureza
8111	Metin do Diabo
8112	Metin da Queda
8113	Metin da Morte
8114	Metin do Assassino
8115	Metin da Lua
8200	Pedra Metin de Chocolate
8201	Pedra Metin de Chocolate
8501	Cão Selvagem
8502	Javali
8503	Urso
8504	Tigre Branco
8505	Orc Preto Gigante
8506	Lider Rã-Árvore
8507	Bandido do Deserto
8508	Atormentador Esotérico
8509	Conjurador Esotérico
8510	Guerreiro Chama
8511	Golem do Gelo
8600	?????
8601	?????
8602	?????
8603	?????
8604	????
8605	????
8606	??
8607	??
8608	±¸¹ÌÈ£
8609	±¸¹ÌÈ£
8610	´©··Åõ¹ü±Í
8611	´©··Åõ¹ü±Í
8612	????
8613	????
8614	??????
8615	??????
8616	Billy Loomis
8617	Jack Torrance
8618	Chucky
8619	Jigsaw
8620	Jason
8621	Michael Myers
8622	Freddy Krueger
8623	Leatherface
9001	Vendedor de Armas
9002	Vendedor de Armaduras
9003	Loja Geral
9004	Ajudante de Evento
9005	Guarda do Armazém
9006	Idosa
9007	Vendedor de Armas
9008	Vendedor de Armaduras
9009	Pescador
9010	Loja Geral
9011	Planeadora de Casamentos
9012	Teleportador
10001	Área_Yayang 4002 8995
10002	Área_Yongan 4503 9050
10003	Área_Bokjung 1118 2161
10004	Área_Joan 876 2131
10005	Área_Bakra 9064 2214
10006	Área_Pyungmoo 9372 2188
10007	Área_Yongan 4188 9560
10008	Área_Yayang 3179 8332
10009	Área_Joan 897 1127
10010	Área_Bokjung 1759 2210
10011	Área_Pyungmoo 9343 3143
10012	Área_Bakra 8348 2926
10013	Templo_Hwang 5536 1441
10014	Seungryong 3326 7468
10015	Deserto_Yongbi 3467 6329
10016	Kuahlo_Dong 600 4960
10017	Templo_Hwang 5906 1102
10018	Torre_Gumsan 2165 7270
10019	Área_Yayang 3211 9009
10020	Jungrang 1356 43
10021	Área_Bokjung 1168 2920
10022	Waryong 2219 93
10023	Área_Bakra 9098 2948
10024	Imha 2718 130
10025	Montanha_Sohan 4993 2984
10026	Lungsam 2887 57
10027	Lungsam 2866 437
10028	Bosque_Rubro 11199 708
10029	Planície_Seca 10590 7262
10030	Deserto_Yongbi 3519 6223
10031	Planície_Seca 10590 7262
10032	Jotunheim 8283 7635
10033	Gruta_Zin 10594 7525
10034	Gruta_Zin_2 10594 7525
10035	Deon-Zeon 917 5253
10036	Deon-Zeon_2 7041 4642
10037	??? 3809 8233
10038	??? 9752 1330
10039	??? 1917 2900
10040	??? 9239 1836
10041	??? 8316 2154
10042	??? 9772 1850
10043	??? 3819 2969
10044	??? 10189 1484
10045	??? 3819 2969
10046	??? 9774 1501
10047	??? 2699 6752
10048	??? 9679 1994
10049	??? 2699 6752
10050	??? 9256 2012
10051	???? 3478 6189
10052	??? 9780 1995
10053	???? 3478 6189
10054	??? 10190 2002
10055	???? 6011 6874
10056	??? 4368 2158
10057	??? 3355 7558
10058	???? 5943 1337
10059	???1 0 10496
10060	????1 1536 10496
10061	????1 4608 10496
10062	???1 6144 10496
10063	??? 3031 266
10064	???? 11133 534
10065	???? 7754 10553
10066	????? 9915 11195
10067	Cave_Macacos 7752 4477
10068	Área_Yayang 4062 8756
10069	Cave_Macacos 8520 4477
10070	Área_Bokjung 1611 2130
10071	Cave_Macacos 9288 4477
10072	Área_Bakra 8727 2100
10073	Deserto_Yongbi 3061 6202
10074	Cave_Macacos 1352 6532
10075	Deserto_Yongbi 2879 5407
10076	Cave_Macacos 1352 7300
10077	????1? 9 12078
10078	??? 2842 8106
10079	Gruta1 1459 13236
10080	????2? 2413 12755
10081	????1? 99 13618
10082	???? 5028 9998
10083	????1? 1360 14972
10084	????2? 2414 14289
10085	????1? 99 15154
10086	???? 616 1148
10087	????1? 1360 16508
10088	????2? 2414 15825
10089	????1? 99 16690
10090	???? 9609 3188
10091	????1? 1360 18044
10092	????2? 2414 17361
10093	Portão_Dragão 1731 12205
10094	Portão_Dragão 1733 13743
10095	Portão_Dragão 1728 15277
10096	Portão_Dragão 1724 16824
10097	SD2 7040 5235
10098	SD3 984 5711
10099	Cabo 11043 17885
10100	Cabo 10963 16744
10101	Nephrite 10869 16558
10102	Cabo 11664 16779
10103	Trovão 11345 16546
10104	Trovão 11921 16550
10105	Gautama 12263 16811
10501	. 345 361
10502	. 106 547
10503	. 75 368
10504	. 89 746
10505	. 520 352
10506	. 541 45
10507	. 211 109
10508	. 615 49
10509	. 284 705
10510	. 145 310
10511	. 553 285
10512	. 487 274
10513	. 626 291
10514	. 285 569
10515	. 80 303
10516	. 315 238
10517	. 416 272
10518	. 72 498
10519	. 215 495
10520	. 523 415
10521	. 72 498
10522	. 518 480
10523	. 583 379
10524	. 459 558
10601	. 345 361
10602	. 520 352
10603	. 487 274
10604	. 75 368
10605	. 211 109
10606	. 215 495
10607	. 315 238
10608	. 520 352
10609	. 284 705
10610	. 145 310
10611	. 416 272
10612	. 80 303
10613	. 72 498
10614	. 106 547
10615	. 523 415
10616	. 541 45
10617	. 72 121
10618	. 518 480
10619	. 89 746
10620	. 285 569
10621	. 615 49
10622	. 72 498
10623	. 583 379
10624	. 459 558
10625	. 609 553
10626	. 594 338
10701	. 75 368
10702	. 541 45
10703	. 615 49
10704	. 284 705
10705	. 520 352
10706	. 553 285
10707	. 145 310
10708	. 345 361
10709	. 523 415
10710	. 72 498
10711	. 626 291
10712	. 487 274
10713	. 72 498
10714	. 106 547
10715	. 518 480
10716	. 285 569
10717	. 80 303
10718	. 211 109
10719	. 416 272
10720	. 215 495
10721	. 315 238
10722	. 89 746
10723	. 583 379
10724	. 459 558
10725	. 609 553
10726	. 594 338
10801	. 70 581
10802	. 69 664
10803	. 132 660
10804	. 184 566
10805	. 285 567
10806	. 272 636
10807	. 191 667
10808	. 345 563
10809	. 400 570
10810	. 68 806
10811	. 140 811
10812	. 189 722
10813	. 274 722
10814	.233 780
10815	. 318 780
10816	. 273 833
10817	.356 717
10818	.412 712
10819	. 372 776
10820	. 354 840
10821	. 366 817
10822	. 420 841
10823	. 94 846
10824	. 63 864
10825	. 131 866
10826	. 59 920
10827	. 91 940
10828	. 135 919
10829	. 194 870
10830	. 243 862
10831	. 312 861
10832	. 373 893
10833	. 406 880
10834	. 422 935
10835	. 500 807
11000	Guarda da Cidade
11001	Beleguim Batalha
11002	Guarda da Cidade
11003	Beleguim Batalha
11004	Guarda da Cidade
11005	Beleguim Batalha
11100	Guardião
11101	Beleguim Batalha
11102	Guardião
11103	Beleguim Batalha
11104	Guardião
11105	Beleguim Batalha
11106	???
11107	???
11108	???
11109	???
11110	???
11111	???
11112	???
11113	???
11114	???
11115	???
11116	???
11117	???
11505	Rã Dourada
11506	??
11507	??
11508	??
11509	??
11510	??
12000	Fogueira
13000	Portão de Madeira
13001	Portão de Pedra
14000	Oficina
14001	Oficina
14002	Oficina
14003	Oficina
14004	Oficina
14005	Oficina
14006	Oficina
14007	Oficina
14008	Oficina
14009	Oficina
14010	Altar
14011	Altar
14012	Altar
14013	Altar
14014	Altar
14015	Altar
14016	Altar
14017	Altar
14018	Altar
14019	Altar
14020	Quartel General
14021	Quartel General
14022	Quartel General
14023	Quartel General
14024	Quartel General
14025	Quartel General
14026	Quartel General
14027	Quartel General
14028	Quartel General
14029	Quartel General
14030	Campo de Treino
14031	Campo de Treino
14032	Campo de Treino
14033	Campo de Treino
14034	Campo de Treino
14035	Campo de Treino
14036	Campo de Treino
14037	Campo de Treino
14038	Campo de Treino
14039	Campo de Treino
14040	Fornalha
14041	Fornalha
14042	Fornalha
14043	Fornalha
14044	Fornalha
14045	Fornalha
14046	Fornalha
14047	Fornalha
14048	Fornalha
14049	Fornalha
20001	Alquimista
20002	Aranyo
20003	Ah-Yu
20004	Pedinte
20005	Yonah
20006	Mirine
20007	Guarda do Armazém
20008	Octávio
20009	Idoso
20010	Vendedor Ambulante
20011	Uriel
20012	Yu-Rang
20013	Pescador
20014	Taurean
20015	Deokbae
20016	Ferreiro
20017	Yu-Hwan
20018	Baek-Go
20019	Yang-Shin
20020	Traidor Balso
20021	Ariyoung
20022	Hu-Ahn-So
20023	Sr. Soon
20024	Harang
20025	.
20026	Ji-Ryu
20027	Gillian
20028	Irmão de Mirine
