AFF_LOVE_POINT	Body za lásku: %d%%
INPUT_PRIVATE_CODE_DIALOG_TITLE	Smazat postavu
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Pergamen se nedá dát dohromady.
INVENTORY_REALLY_USE_ITEM	Chceš použít tento pøedmìt?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Amatérský ninja
JOB_ASSASSIN1	Moc ninji
JOB_ASSASSIN2	Nezemøelý
JOB_SHAMAN	Šaman
JOB_SHAMAN0	Amatérský šaman
JOB_SHAMAN1	Moc draka
JOB_SHAMAN2	Síla blesku
JOB_SURA	Sura
JOB_SURA0	Amatérský Sura
JOB_SURA1	Moc faty morgány
JOB_SURA2	Moc èerné magie
JOB_WARRIOR	Váleèník
JOB_WARRIOR0	Amatérský váleèník
JOB_WARRIOR1	Moc Arahanu
JOB_WARRIOR2	Moc halapartny
LEFT_TIME	Zbývající èas
LOGIN_CONNECT_FAILURE	Chyba pøi spojení se serverem.
LOGIN_CONNECT_SUCCESS	Byl jsi pøipojen na server.
LOGIN_CONNETING	Budeš pøipojen na server.
LOGIN_FAILURE_ALREAY	Tvé konto je už pøipojeno.
LOGIN_FAILURE_BE_SAME_KEY	Problém s pøihlášením
LOGIN_FAILURE_BLOCK_ID	Konto je zablokováno.
LOGIN_FAILURE_BLOCK_LOGIN	Prosím, zvolte si nìkterý z jiných serverù!
LOGIN_FAILURE_NOBILL	Konto nemá k dispozici žádnou hrací dobu.
LOGIN_FAILURE_NOT_AVAIL	Konto není k dispozici.
LOGIN_FAILURE_NOT_EXIST_ID	Konto neexistuje nebo je chybné heslo.
LOGIN_FAILURE_REPAIR_ID	Právì se znovu zøizují pøedmìty pro toto konto.
LOGIN_FAILURE_SHUTDOWN	Server zatím není pøístupný.
LOGIN_FAILURE_TOO_MANY_USER	Nemohl jsi navázat spojení, protože právì hraje pøíliš mnoho hráèù.
LOGIN_FAILURE_UNKNOWN	Z neznámých dùvodù jsi se nemohl pøihlásit.
LOGIN_FAILURE_WEB_BLOCK	Byl jsi na webové stránce zablokován. Prosím zkontroluj si e-maily.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Zadal jsi špatné èíslo.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Zadal jsi tøikrát špatné èíslo. Tvoje pøipojení bude pøerušeno.
LOGIN_FAILURE_WRONG_PASSWORD	Zkontroluj svoje údaje.
LOGIN_INPUT_ID	Zadej ID.
LOGIN_INPUT_PASSWORD	Zadej heslo.
LOGIN_PROCESSING	Pøihlášení probíhá
MALL_CANNOT_INSERT	Tento pøedmìt nemùžeš umístit.
MALL_PASSWORD_TITLE	Heslo
MAP_A1	Oblast Yongan
MAP_A2	Údolí Seungryong
MAP_A3	Oblast Yayang
MAP_AG	Jungrang
MAP_B1	Oblast Joan
MAP_B2	Údolí Imjù
MAP_B3	Oblast Bokjung
MAP_BG	Waryong
MAP_C1	Oblast Pyungmoo
MAP_C2	Údolí Bangsanù
MAP_C3	Oblast Bakra
MAP_CG	Imha
MAP_DESERT	Pouš Yongbi
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Zemì obrù
MAP_SKELTOWER	Vìž Gumsan
MAP_SNOW	Hora Sohan
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Chrám Hwang
MAP_TREE	Lungsam
MAP_TRENT02	Èervený les
MAP_WL	Hadí pole
MESSENGER_ADD_FRIEND	Pøidat pøítele
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s tì pøijímal za pøítele.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Akceptovat?
MESSENGER_DO_YOU_DELETE	Smazat?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Chceš smazat èíslo na mobil?
MESSENGER_DO_YOU_MOVE	Chceš pokraèovat?
MESSENGER_EMPTY_LIST	Prázdný
MESSENGER_FAMILY	Rodina
MESSENGER_FRIEND	Pøítel
MESSENGER_GUILD	Cech
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Zadej èíslo potvrzení, které bylo odesláno na tvùj mobil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Zadat èíslo potvrzení
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Zadej èíslo na mobil na zasílaní SMS.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Chceš teï zadat èíslo?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Zadat èíslo na mobil
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Poslat zprávu
MINIMAP	Minimapa
MINIMAP_CANNOT_SEE	Minimapu nelze zobrazit.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Mapa nelze zobrazit.
MINIMAP_DEC_SCALE	Minimalizovat
MINIMAP_INC_SCALE	Maximalizovat
MINIMAP_OBSERVER_COUNT	%d divák
MINIMAP_SHOW_AREAMAP	Velká mapa
MINUTE	min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	deset tisíc
MONETARY_UNIT2	sto miliónù
MONEY_INPUT_DIALOG_SELLPRICE	Prodejní cena:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nemùžeš pøesunout tento pøedmìt, když jsi otevøel soukromý stánek.
MUSIC_EMPTY_MUSIC_LIST	Bez hudby v pozadí	
MUSIC_METIN2_DEFAULT_THEMA	Standardní hudba Metin2
MUSIC_NOT_SELECT_MUSIC	Nebyl zvolen hudební soubor.
NEEFD_REST	Musíš si nejdøív odpoèinout.
NOT_YET_SUPPORT	Není podporováno.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Pokud nenáležíš k žádnému cechu, nemùžeš zaktivovat cechovní modus.
OPTION_PVPMODE_NOT_SUPPORT	Konfiguraci PvP-módu nemùžeš použít.
OPTION_PVPMODE_PROTECT	Abys mohl pøejít do PvP-módu, musíš dosáhnout minimálnì %d level.
PARTY_BONUS_ATTACKER	Hodnota útoku: +%d
PARTY_BONUS_BERSERKER	Rychlost útoku: +%d
PARTY_BONUS_BUFFER	Trvání schopností: +%d
PARTY_BONUS_DEFENDER	Obrana: +%d
PARTY_BONUS_EXP	Bonus BZK: %d%%
PARTY_BONUS_SKILL_MASTER	Max. MB: +%d
PARTY_BONUS_TANKER	Max. ZB: +%d
PARTY_BREAK_UP	Zrušit skupinu
PARTY_DO_YOU_ACCEPT	 by se rád pøidal do skupiny.
PARTY_DO_YOU_JOIN	, chceš pøijmout pozvání?
PARTY_EXP_DISTRIBUTION_MODE	Rozložení BZK
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Rozložení levelù
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Vyšší level obdrží více BZK.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Rovnomìrné rozložení
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Všichni èlenové skupiny obdrží stejný poèet BZK.
PARTY_HEAL_ALL_MEMBER	Vše znovuobnovit
PARTY_INCREASE_AREA_150	Dosah skupiny byl zvýšen o faktor 1,5.
PARTY_INCREASE_AREA_200	Dosah skupiny byl zvýšen o faktor 2.
PARTY_LEAVE	Opustit skupinu.
PARTY_LONGTIME_BONUS_EXP	Bonus za dlouhou hru skupiny: +%d%%
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Pøivolat èlena skupiny.
PARTY_REGEN_BONUS	Bonus na regeneraci ZB a MB: +%d%%
PARTY_REQUEST_DENIED	Odmítl jsi pozvání do skupiny.
PARTY_SET_ATTACKER	Urèit útoèníka.
PARTY_SET_BERSERKER	Urèit zuøivce.
PARTY_SET_BUFFER	Urèit blokátora
PARTY_SET_DEFENDER	Urèit obránce.
PARTY_SET_NORMAL	Odvolat nastavení.
PARTY_SET_SKILL_MASTER	Urèit mistra schopností.
PARTY_SET_TANKER	Urèit bojovníka zblízka.
PARTY_SKILL_ATTACKER	Základní hodnota útoku útoèníka +%,0f
PARTY_SKILL_BERSERKER	Rychlost útoku zuøivce +%,0f
PARTY_SKILL_BUFFER	Doba trvání schopností blokátora +%,0f
PARTY_SKILL_DEFENDER	Obrana obránce +%,0f
PARTY_SKILL_HP_REGEN	Regenerace ZB +%,0f%%
PARTY_SKILL_PARTY_AREA	Dosah skupiny +%d%%
PARTY_SKILL_SKILL_MASTER	Max. MB mistra schopností +%,0f
PARTY_SKILL_SP_REGEN	Regenerace MB +%,0f%%
PARTY_SKILL_TANKER	Max. ZB bojovník zblízka +%,0f
PARTY_SKILL_WARP	Schopen, pøivolat èleny skupiny.
PASSWORD_TITLE	Uložit heslo
PICK_ITEM_TITLE	Èíslo pøedmìtu
PICK_MONEY_TITLE	Èástka
PRIVATE_SHOP_CANNOT_SELL_ITEM	Tento pøedmìt nemùžeš prodávat v soukromém stánku.
PRIVATE_SHOP_CLOSE_QUESTION	Chceš zavøít soukromý stánek?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Název soukromého stánku
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Cena
PVP_LEVEL0	Rytíøsky
PVP_LEVEL1	Vznešený
PVP_LEVEL2	Dobrý
PVP_LEVEL3	Pøátelský
PVP_LEVEL4	Neutrální
PVP_LEVEL5	Agresivní
PVP_LEVEL6	Úskoèný
PVP_LEVEL7	Zlomyslný
PVP_LEVEL8	Krutý
PVP_MODE_GUILD	Cechovní modus PvP byl zaktivován
PVP_MODE_KILL	Modus bez PvP byl zaktivován
PVP_MODE_NORMAL	Mír v PvP byl zaktivován
PVP_MODE_PROTECT	Ochrana PvP byla aktivována.
PVP_MODE_REVENGE	Agresivní PvP byl zaktivován.
PVP_OPTION_KILL	Volno
PVP_OPTION_NORMAL	Mír
PVP_OPTION_PROTECT	Ochrana
PVP_OPTION_REVENGE	Nepøátelský
QUEST_APPEND	Byl získán nový quest.
QUEST_MIN	min.
QUEST_SEC	sek.
QUEST_TIMEOVER	Èas vypršel
QUEST_UNLIMITED_TIME	Bez èasového omezení
QUEST_ZEROSEC	0 sek.
QUICKSLOT_REGISTER_DISABLE_ITEM	Tento pøedmìt nemùže být pøidán k poli rychlého pøístupu.
RECEIVE_MESSAGE	%s ti poslal zprávu.
REFINE_COST	Náklady na zlepšení: %d Yang
REFINE_DESTROY_WARNING	Pøedmìt by se mohl zušlechtìním znièit.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Toto zvyšuje pravdìpodobnost zlepšení,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	ale v pøípadì neúspìchu bude pøedmìt znièen. Chceš pokraèovat?
REFINE_DOWN_GRADE_WARNING	Pøedmìt by se mohl zušlechtìním zhoršit.
REFINE_DO_YOU_SEPARATE_METIN	Chceš odstranit kámen ducha?
REFINE_FAILURE	Hmm, nojono - tak to neklaplo! Selhali jsme.
REFINE_FAILURE_CAN_NOT_ATTACH	%s nelze pøidat k pøedmìtu.
REFINE_FAILURE_EQUIP_ITEM	Tento vybavený pøedmìt už nemùžeš zlepšit.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nelze odstranit kámen ducha.
REFINE_FAILURE_NEED_BETTER_SCROLL	Potøebuješ lepší pergamen zlepšování.
REFINE_FAILURE_NO_GOLD_SOCKET	Neexistuje žádná úchytka ze zlata, do kterého lze pøidat %s.
REFINE_FAILURE_NO_MORE_SOCKET	Nemùžeš pøidat žádné další úchytky.
REFINE_FAILURE_NO_SOCKET0	Neexistuje žádná úchytka, do kterého lze pøidat %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	K tomuto pøedmìtu nelze pøidat žádná úchytka.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Tento pøedmìt nelze zlepšit.
REFINE_SUCCESS	Toto zlepšení pøedmìtu bylo úspìšné.
REFINE_SUCCESS_PROBALITY	Šance na zlepšení: %d%%
REFINE_WARNING2	Chceš pokraèovat?
SAFEBOX_ERROR	Zadal jsi špatné heslo.
SAFEBOX_SELL_DISABLE_SAFEITEM	Nemùžeš prodat žádný z uložených pøedmìtù.
SAFEBOX_WRONG_PASSWORD	Hesla musí být identická.
SCREENSHOT_SAVE1	je uložen v
SCREENSHOT_SAVE2	Složka screenshotù
SCREENSHOT_SAVE_FAILURE	Uložení screenshotu se nezdaøilo.
SECOND	sek
SELECT_CAN_NOT_DELETE	Tuto postavu nemùžeš smazat.
SELECT_CHANGED_NAME	Zmìnil jsi název postavy.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Tento název postavy už existuje.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Zkus to znovu.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Toto je špatný název postavy.
SELECT_CHANGE_NAME_TITLE	Zmìnit název postavy
SELECT_DELEING	Postava se maže
SELECT_DELETED	Vymazání úspìšné.
SELECT_DO_YOU_DELETE_REALLY	Chceš pokraèovat?
SELECT_EMPTY_SLOT	Toto je prázdné pole.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Zadej nový název postavy.
SELECT_NOT_JOIN_GUILD	Žádný cech
SHOP_BUY_INFO	Mùžeš koupit pøedmìt zvolením v obchodnym oknì.
SHOP_CANNOT_SELL_EQUIPMENT	Vybavený pøedmìt nemùžeš prodat.
SHOP_CANNOT_SELL_ITEM	Tento pøedmìt není na prodej.
SHOP_ERROR_UNKNOWN	Neznámá chyba v obchodì: %s
SHOP_INVALID_POS	Tento pøedmìt není vhodný.
SHOP_INVENTORY_FULL	V inventáøi už není místo.
SHOP_NOT_ENOUGH_MONEY	Nedostatek Yang
SHOP_SELL_INFO	Zvol pøedmìt, který chceš prodat, v oknì inventáøe.
SHOP_SOLDOUT	Vyprodáno
SHOT_ERROR_UNKNOWN	Neznámá chyba v útoku na dálku: %s
SKILL_BOHO	Reflektovat
SKILL_BUDONG	Už se nepoužívá
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Potøebuješ BZK, abys mohl získat tuto schopnost.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Potøebuješ knihu, aby ses mohl nauèit tuto schopnost.
SKILL_CHEONGEUN	Silné tìlo
SKILL_CRITICAL	Kritický zásah
SKILL_ENCHANT_POISON	Použít jed
SKILL_EUNHYEONG	Neviditelný
SKILL_FAINT	Bezvìdomí
SKILL_FIND_TRAP	Hledat past
SKILL_FIRE	Spálit
SKILL_FISHMIND	Koule na ryby je používána.
SKILL_GAMJI	Zachycení
SKILL_GEOMGYEONG	Aura meèe
SKILL_GEONGON	SKILL_GEONGON se už nepoužívá
SKILL_GICHEON	Pomoc draka
SKILL_GIGONG	Rotace Chi
SKILL_GONGPO	Strach
SKILL_GRADE_NAME_GRAND_MASTER	%s velký mistr
SKILL_GRADE_NAME_MASTER	%s mistr
SKILL_GRADE_NAME_PERFECT_MASTER	%s perfektní mistr
SKILL_GROUP_ASSASSIN_1	Èepel
SKILL_GROUP_ASSASSIN_2	Luk
SKILL_GROUP_HORSE	Jezdecké umìní
SKILL_GROUP_SHAMAN_1	Drak
SKILL_GROUP_SHAMAN_2	Uzdravení
SKILL_GROUP_SURA_1	Zbranì
SKILL_GROUP_SURA_2	Magie
